Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
FDU,65,Florida Gulf Coast,96,Florida Gulf Coast
Tulsa,62,Michigan,67,Michigan
UNC,83,Florida Gulf Coast,67,UNC
USC,69,Providence,70,Providence
Indiana,99,Chattanooga,74,Indiana
Kentucky,85,Stony Brook,57,Kentucky
Notre Dame,70,Michigan,63,Notre Dame
West Virginia,56,Stephen F. Austin,70,Stephen F. Austin
Wisconsin,47,Pitt,43,Wisconsin
Xavier,71,Weber State,53,Xavier
UNC,85,Providence,66,UNC
Indiana,73,Kentucky,67,Indiana
Notre Dame,76,Stephen F. Austin,75,Notre Dame
Wisconsin,66,Xavier,63,Wisconsin
UNC,101,Indiana,86,UNC
Notre Dame,61,Wisconsin,56,Notre Dame
UNC,88,Notre Dame,74,UNC
UNC,81,Virginia,81,Virginia
Hampton,45,Texas Tech,61,Texas Tech
Butler,71,Purdue,83,Purdue
Little Rock,85,Iowa State,94,Iowa State
Iona,81,Seton Hall,52,Iona
Gonzaga,68,Utah,80,Utah
Fresno State,69,Dayton,51,Fresno State
Syracuse,70,Michigan State,81,Michigan State
Middle Tennessee,90,Virginia,77,Middle Tennessee
Butler,69,Little Rock,61,Butler
Iowa State,78,Gonzaga,82,Gonzaga
Utah,59,Syracuse,75,Syracuse
Middle Tennessee,50,Virginia,84,Virginia
Iowa State,71,Gonzaga,60,Iowa State
Syracuse,63,Virginia,62,Syracuse
Syracuse,68,Syracuse,70,Syracuse
Wichita State,70,Vanderbilt,50,Wichita State
Kansas,105,Austin Peay,79,Kansas
Colorado,67,UConn,74,UConn
Maryland,79,South Dakota State,74,Maryland
California,66,Hawaii,77,Hawaii
Arizona,55,Wichita State,65,Wichita State
Miami (FL),79,Buffalo,72,Miami (FL)
Iowa,72,Temple,70,Iowa
Villanova,86,UNC Asheville,56,Villanova
Kansas,73,UConn,61,Kansas
Maryland,73,Hawaii,60,Maryland
Wichita State,57,Miami (FL),65,Miami (FL)
Iowa,68,Villanova,87,Villanova
Kansas,79,Maryland,63,Kansas
Miami (FL),69,Villanova,92,Villanova
Kansas,59,Villanova,64,Villanova
Villanova,55,Southern,55,Southern
Holy Cross,59,Oregon,91,Oregon
Holy Cross,52,St. Joseph's,78,St. Joseph's
Cincinnati,76,Baylor,75,Cincinnati
Yale,79,Duke,93,Duke
UNC Wilmington,85,Texas,72,UNC Wilmington
Northern Iowa,75,Texas A&M,92,Texas A&M
Green Bay,65,Oregon State,67,Oregon State
VCU,75,Oklahoma,82,Oklahoma
Cal State Bakersfield,68,Oregon,69,Oregon
St. Joseph's,64,Yale,64,Yale
Duke,71,Northern Iowa,88,Northern Iowa
Texas A&M,92,VCU,81,Texas A&M
Oklahoma,85,Oregon,82,Oklahoma
Duke,68,Texas A&M,63,Duke
Oklahoma,77,Oregon,68,Oklahoma
Oklahoma,80,Oklahoma,83,Oklahoma
UNC,83,Syracuse,66,UNC
Villanova,95,Oklahoma,51,Villanova
UNC,74,Villanova,77,Villanova
