ID,Year,Team,Rank,Wins,Losses,WL%,SOS,SRS,FG/G,OREB/G,Total Points,FGA,FTA,AST,TOV,TS%,TOV%,AST%,URL
1,2018,LIU,16,18,17,0.5143,-8.19,-8.6,26.7,10.6,2696,2055,786,442,496,0.5614701521134269,17.122105466646413,47.27272727272727,https://www.sports-reference.com/cbb/schools/long-island-university/men/2018.html
2,2018,Radford,16,23,13,0.6389,-4.09,-2.62,23.6,11.5,2422,2000,614,442,441,0.5334425767346795,16.266100119506042,52.0,https://www.sports-reference.com/cbb/schools/radford/men/2018.html
3,2018,St. Bonaventure,11,26,8,0.7647,2.61,8.87,26.0,10.1,2620,1959,794,472,391,0.5675024692855534,14.484914942801256,53.39366515837104,https://www.sports-reference.com/cbb/schools/st-bonaventure/men/2018.html
4,2018,UCLA,11,21,12,0.6364,6.86,12.07,28.1,10.2,2679,2014,715,495,399,0.5752383406338573,14.628244610646723,53.398058252427184,https://www.sports-reference.com/cbb/schools/ucla/men/2018.html
5,2018,Villanova,1,36,4,0.9,10.24,26.64,30.5,9.6,3463,2440,718,655,426,0.6282838398792417,13.388143007995172,53.68852459016394,https://www.sports-reference.com/cbb/schools/villanova/men/2018.html
6,2018,Virginia Tech,8,21,12,0.6364,6.71,14.35,28.2,7.5,2634,1865,681,542,395,0.6084152561164905,15.4318576049757,58.21697099892589,https://www.sports-reference.com/cbb/schools/virginia-tech/men/2018.html
7,2018,Alabama,9,20,16,0.5556,10.64,12.34,25.3,10.0,2604,1975,828,458,513,0.5565719952806798,17.98535928647557,50.32967032967033,https://www.sports-reference.com/cbb/schools/alabama/men/2018.html
8,2018,West Virginia,5,26,11,0.7027,9.38,19.89,28.0,14.1,2964,2374,744,561,420,0.5486125507151953,13.455673168106209,54.15057915057915,https://www.sports-reference.com/cbb/schools/west-virginia/men/2018.html
9,2018,Murray State,12,26,6,0.8125,-3.53,6.87,27.2,10.7,2515,1803,687,471,384,0.5973077215382276,15.426147319706901,54.13793103448276,https://www.sports-reference.com/cbb/schools/murray-state/men/2018.html
10,2018,Wichita State,4,25,8,0.7576,5.46,16.58,29.0,12.3,2731,2009,700,610,385,0.5893396633577902,14.248704663212436,63.74085684430512,https://www.sports-reference.com/cbb/schools/wichita-state/men/2018.html
