Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
LIU,55,James Madison,68,James Madison
Indiana,83,James Madison,62,Indiana
NC State,72,Temple,76,Temple
UNLV,61,California,64,California
Syracuse,81,Montana,34,Syracuse
Butler,68,Bucknell,56,Butler
Marquette,59,Davidson,58,Marquette
Illinois,57,Colorado,49,Illinois
Miami (FL),78,Pacific,49,Miami (FL)
Indiana,58,Temple,52,Indiana
California,60,Syracuse,66,Syracuse
Butler,72,Marquette,74,Marquette
Illinois,59,Miami (FL),63,Miami (FL)
Indiana,50,Syracuse,61,Syracuse
Marquette,71,Miami (FL),61,Marquette
Syracuse,55,Marquette,39,Syracuse
Syracuse,73,North Carolina A&T,73,North Carolina A&T
Liberty,72,Saint Mary's,67,Liberty
Middle Tennessee,54,Louisville,79,Louisville
North Carolina A&T,48,Colorado State,84,Colorado State
Missouri,72,Oklahoma State,55,Missouri
Oregon,68,Saint Louis,64,Oregon
New Mexico State,44,Memphis,54,Memphis
Saint Mary's,52,Michigan State,65,Michigan State
Valparaiso,54,Creighton,67,Creighton
Cincinnati,63,Duke,73,Duke
Albany (NY),61,Louisville,82,Louisville
Colorado State,56,Oregon,74,Oregon
Saint Louis,57,Memphis,48,Saint Louis
Michigan State,70,Creighton,50,Michigan State
Duke,66,Louisville,77,Louisville
Oregon,69,Michigan State,61,Oregon
Duke,71,Louisville,85,Louisville
Duke,63,Louisville,64,Louisville
Kansas,64,Western Kentucky,57,Kansas
UNC,78,Villanova,71,UNC
VCU,88,Akron,42,VCU
Michigan,71,South Dakota State,56,Michigan
UCLA,63,Minnesota,83,Minnesota
Florida,79,Northwestern State,47,Florida
San Diego State,70,Oklahoma,55,San Diego State
Georgetown,68,Florida Gulf Coast,78,Florida Gulf Coast
Kansas,70,UNC,58,Kansas
VCU,53,Michigan,78,Michigan
Minnesota,64,Florida,78,Florida
San Diego State,71,Florida Gulf Coast,81,Florida Gulf Coast
Kansas,85,Michigan,87,Michigan
Florida,62,Florida Gulf Coast,50,Florida
Michigan,79,Florida,59,Michigan
Michigan,80,La Salle,80,La Salle
Boise State,71,Gonzaga,64,Boise State
Southern,58,Pitt,55,Southern
Wichita State,73,Wisconsin,46,Wichita State
Ole Miss,57,Kansas State,61,Kansas State
La Salle,63,Arizona,81,Arizona
Belmont,64,New Mexico,62,Belmont
Harvard,68,Notre Dame,58,Harvard
Iowa State,76,Ohio State,95,Ohio State
Iona,70,Gonzaga,70,Gonzaga
Wichita State,76,Ole Miss,74,Wichita State
La Salle,76,Arizona,74,La Salle
Harvard,51,Iowa State,75,Iowa State
Ohio State,78,Wichita State,72,Ohio State
La Salle,58,Arizona,70,Arizona
Ohio State,73,Wichita State,70,Ohio State
Ohio State,66,Wichita State,56,Ohio State
Syracuse,56,Michigan,61,Michigan
Louisville,72,Wichita State,68,Louisville
Michigan,76,Louisville,82,Louisville
