Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
New Orleans,66,Mount St. Mary's,67,Mount St. Mary's
USC,75,Providence,71,USC
Villanova,76,Mount St. Mary's,56,Villanova
Wisconsin,84,Virginia Tech,74,Wisconsin
Virginia,76,UNC Wilmington,71,Virginia
Florida,80,ETSU,65,Florida
SMU,65,USC,66,USC
Baylor,91,New Mexico State,73,Baylor
South Carolina,93,Marquette,73,South Carolina
Duke,87,Troy,65,Duke
Villanova,62,Wisconsin,65,Wisconsin
Virginia,39,Florida,65,Florida
USC,78,Baylor,82,Baylor
South Carolina,88,Duke,81,South Carolina
Wisconsin,83,Florida,84,Florida
Baylor,50,South Carolina,70,South Carolina
Florida,70,South Carolina,77,South Carolina
South Carolina,67,UC-Davis,67,UC-Davis
North Carolina Central,63,Kansas,100,Kansas
UC-Davis,62,Miami (FL),58,UC-Davis
Michigan State,78,Iowa State,84,Iowa State
Nevada,73,Purdue,80,Purdue
Vermont,70,Creighton,72,Creighton
Rhode Island,84,Oregon,93,Oregon
Iona,77,Michigan,92,Michigan
Oklahoma State,91,Louisville,78,Oklahoma State
Jacksonville State,63,Kansas,90,Kansas
Michigan State,70,Iowa State,76,Iowa State
Purdue,80,Rhode Island,72,Purdue
Oregon,75,Michigan,73,Oregon
Louisville,69,Kansas,98,Kansas
Purdue,66,Oregon,69,Oregon
Michigan,68,Kansas,60,Michigan
Oregon,74,Oregon,88,Oregon
Wake Forest,88,Kansas State,95,Kansas State
UNC,103,Texas Southern,64,UNC
Arkansas,77,Seton Hall,71,Arkansas
Minnesota,72,Middle Tennessee,81,Middle Tennessee
Butler,76,Winthrop,64,Butler
Cincinnati,75,Kansas State,61,Cincinnati
UCLA,97,Kent State,80,UCLA
Dayton,58,Wichita State,64,Wichita State
Kentucky,79,Northern Kentucky,70,Kentucky
UNC,72,Arkansas,65,UNC
Middle Tennessee,65,Butler,74,Butler
Cincinnati,67,UCLA,79,UCLA
Wichita State,62,Kentucky,65,Kentucky
UNC,92,Butler,80,UNC
UCLA,75,Kentucky,86,Kentucky
UNC,75,Kentucky,73,UNC
UNC,66,Gonzaga,66,Gonzaga
South Dakota State,46,Northwestern,68,Northwestern
Vanderbilt,66,Notre Dame,60,Vanderbilt
Princeton,58,West Virginia,86,West Virginia
Bucknell,80,Maryland,65,Bucknell
Xavier,76,Florida State,86,Florida State
Florida Gulf Coast,80,Saint Mary's,85,Saint Mary's
VCU,77,Arizona,100,Arizona
North Dakota,82,Gonzaga,79,North Dakota
Northwestern,73,Notre Dame,71,Northwestern
West Virginia,83,Xavier,91,Xavier
Florida State,66,Saint Mary's,60,Florida State
Arizona,69,Gonzaga,61,Arizona
West Virginia,58,Xavier,73,Xavier
Arizona,71,Gonzaga,83,Gonzaga
Xavier,59,Gonzaga,73,Gonzaga
South Carolina,73,Gonzaga,77,Gonzaga
Oregon,76,UNC,77,UNC
Gonzaga,65,UNC,71,UNC
