Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
Kentucky,100,ETSU,71,Kentucky
Texas,80,Wake Forest,81,Wake Forest
Temple,65,Cornell,78,Cornell
Wisconsin,53,Wofford,49,Wisconsin
Marquette,78,Washington,80,Washington
New Mexico,62,Montana,57,New Mexico
Clemson,78,Missouri,86,Missouri
West Virginia,77,Morgan State,50,West Virginia
Kentucky,90,Wake Forest,60,Kentucky
Cornell,87,Wisconsin,69,Cornell
Washington,82,New Mexico,64,Washington
Missouri,59,West Virginia,68,West Virginia
Kentucky,62,Cornell,45,Kentucky
Washington,56,West Virginia,69,West Virginia
Kentucky,66,West Virginia,73,West Virginia
West Virginia,90,Kansas,90,Kansas
Lehigh,74,UNLV,66,Lehigh
Northern Iowa,69,Michigan State,70,Michigan State
New Mexico State,67,Maryland,89,Maryland
Houston,77,Tennessee,62,Houston
San Diego State,59,Georgetown,83,Georgetown
Ohio,97,Oklahoma State,59,Ohio
Georgia Tech,64,Ohio State,68,Ohio State
UCSB,51,Kansas,67,Kansas
Northern Iowa,69,Michigan State,85,Michigan State
Maryland,83,Tennessee,83,Tennessee
Ohio,68,Georgia Tech,66,Ohio
Ohio State,75,Northern Iowa,52,Ohio State
Michigan State,59,Tennessee,76,Tennessee
Ohio State,73,Michigan State,70,Ohio State
Tennessee,69,Michigan State,44,Tennessee
Winthrop,44,Arkansas-Pine Bluff,61,Arkansas-Pine Bluff
Duke,73,Arkansas-Pine Bluff,44,Duke
California,77,Louisville,62,California
Texas A&M,69,Utah State,53,Texas A&M
Purdue,72,Siena,64,Purdue
Notre Dame,50,Old Dominion,51,Old Dominion
Baylor,68,Sam Houston,59,Baylor
Richmond,71,Saint Mary's,80,Saint Mary's
Villanova,73,Robert Morris,70,Villanova
Duke,68,California,53,Duke
Texas A&M,61,Purdue,63,Purdue
Old Dominion,68,Baylor,76,Baylor
Saint Mary's,75,Villanova,68,Saint Mary's
Duke,70,Purdue,57,Duke
Baylor,72,Saint Mary's,49,Baylor
Duke,78,Baylor,71,Duke
Duke,79,Syracuse,79,Syracuse
Vermont,56,Gonzaga,67,Gonzaga
Florida State,60,Butler,77,Butler
UTEP,59,Vanderbilt,65,Vanderbilt
Murray State,66,Xavier,65,Murray State
Minnesota,54,Pitt,89,Pitt
Oakland,66,BYU,99,BYU
Florida,92,Kansas State,82,Florida
North Texas,62,Syracuse,87,Syracuse
Gonzaga,65,Butler,54,Gonzaga
Murray State,52,Xavier,71,Xavier
Pitt,68,BYU,72,BYU
Kansas State,84,Syracuse,59,Kansas State
Butler,63,Xavier,96,Xavier
Kansas State,101,Butler,63,Kansas State
Kansas State,56,Butler,57,Butler
West Virginia,57,Duke,78,Duke
Michigan State,50,Butler,52,Butler
Duke,61,Butler,59,Duke
