Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
Virginia,70,Coastal Carolina,59,Virginia
Memphis,71,George Washington,66,Memphis
Cincinnati,57,Harvard,61,Harvard
Michigan State,93,Delaware,78,Michigan State
UNC,79,Providence,77,UNC
Iowa State,93,North Carolina Central,75,Iowa State
UConn,89,St. Joseph's,81,UConn
Villanova,73,Milwaukee,53,Villanova
Virginia,78,Memphis,60,Virginia
Harvard,73,Michigan State,80,Michigan State
UNC,83,Iowa State,85,Iowa State
UConn,77,Villanova,65,UConn
Virginia,59,Michigan State,61,Michigan State
Iowa State,76,UConn,81,UConn
Michigan State,54,UConn,60,UConn
UConn,78,Tennessee,78,Tennessee
Iowa,65,Texas Southern,69,Texas Southern
Cal Poly,81,Xavier,59,Cal Poly
NC State,74,Wichita State,64,NC State
Cal Poly,37,Kentucky,56,Kentucky
Kansas State,49,Saint Louis,83,Saint Louis
NC State,80,Louisville,71,NC State
Manhattan,64,UMass,67,UMass
Tennessee,86,Duke,71,Tennessee
Mercer,78,Texas,87,Texas
Arizona State,85,Michigan,57,Arizona State
Wofford,40,Wichita State,76,Wichita State
Kentucky,78,Saint Louis,51,Kentucky
Louisville,66,Tennessee,83,Tennessee
Mercer,63,Texas,65,Texas
Michigan,79,Kentucky,74,Michigan
Louisville,69,Tennessee,71,Tennessee
Michigan,73,Kentucky,75,Kentucky
Michigan,72,Kentucky,64,Michigan
Mount St. Mary's,64,Albany (NY),71,Albany (NY)
Florida,67,Albany (NY),55,Florida
Colorado,48,Pitt,77,Pitt
VCU,75,Stephen F. Austin,77,Stephen F. Austin
UCLA,76,Tulsa,59,UCLA
Ohio State,59,Dayton,60,Dayton
Syracuse,77,Western Michigan,53,Syracuse
New Mexico,53,Stanford,58,Stanford
Kansas,80,Eastern Kentucky,69,Kansas
Florida,61,Pitt,45,Florida
Stephen F. Austin,60,UCLA,77,UCLA
Dayton,55,Syracuse,53,Dayton
Stanford,60,Kansas,57,Stanford
Florida,79,UCLA,68,Florida
Dayton,82,Stanford,72,Dayton
Florida,62,Dayton,52,Florida
Florida,68,Arizona,68,Arizona
Weber State,59,Gonzaga,85,Gonzaga
Oklahoma State,77,Oklahoma,75,Oklahoma State
North Dakota State,80,San Diego State,73,North Dakota State
New Mexico State,69,Baylor,74,Baylor
Nebraska,60,Creighton,76,Creighton
Louisiana,66,Oregon,87,Oregon
BYU,68,Wisconsin,75,Wisconsin
American,35,Arizona,84,Arizona
Gonzaga,61,North Dakota State,44,Gonzaga
San Diego State,63,Baylor,85,Baylor
Creighton,55,Oregon,77,Oregon
Wisconsin,85,Arizona,70,Wisconsin
San Diego State,64,Baylor,52,San Diego State
Wisconsin,69,Arizona,63,Wisconsin
Wisconsin,64,Wisconsin,63,Wisconsin
UConn,63,Florida,53,UConn
Kentucky,74,Wisconsin,73,Kentucky
UConn,60,Kentucky,54,UConn
