Winner,Δ Rank,Δ SRS,Δ SOS,Δ WL%,Δ FG/G,Δ OREB/G,Δ TS%,Δ TOV%,Δ AST%
LOWER,0.0,0.1900000000000004,-1.83,0.06940000000000002,1.5,4.3999999999999995,0.017624919357072666,3.107309432811739,14.28885439133959
HIGHER,0.0,0.2400000000000002,-1.4399999999999995,0.11609999999999998,2.700000000000003,1.9000000000000004,0.013212482429521999,-2.6268532878279043,-2.171833141982397
HIGHER,-15.0,28.09,12.79,0.33330000000000004,2.400000000000002,1.1000000000000005,0.07671810663772816,-2.113705855880127,6.379496753534482
HIGHER,-1.0,6.629999999999999,1.0199999999999996,0.06300000000000006,-0.6999999999999993,5.1000000000000005,-0.06228615259182679,-1.2933894305568447,-4.126314762846327
HIGHER,-7.0,12.569999999999999,11.48,-0.1521,-5.900000000000002,-3.4000000000000004,-0.03069906001494116,1.261230305847322,3.715574430010385
HIGHER,-9.0,15.09,13.12,-0.021399999999999975,-0.8999999999999986,1.4000000000000004,-0.03168951383995888,-3.4039475288141237,-6.530692549842605
LOWER,-5.0,7.23,-1.9500000000000002,0.13490000000000002,-1.0,1.0999999999999996,0.013536015453771033,0.6007636326074444,5.5153453402906365
HIGHER,-11.0,15.09,15.69,-0.052100000000000035,-0.5999999999999979,0.09999999999999964,-0.007727949519543698,0.6198169062545382,3.754074634338359
HIGHER,-3.0,2.26,1.5600000000000005,0.1089,-3.6999999999999993,3.6999999999999993,-0.08887698150382961,0.09631896260436434,-6.4779616466232355
HIGHER,-13.0,22.029999999999998,14.27,0.1622,1.0,-0.5999999999999996,0.022829993504205004,-1.1217263001933375,-1.7896224284420796
LOWER,-7.0,4.400000000000002,-0.120000000000001,0.1592,0.6000000000000014,-3.5999999999999996,0.07040336754017595,0.7776889162418676,0.4263539004178156
HIGHER,-1.0,1.7699999999999996,0.08000000000000007,0.07350000000000001,1.8000000000000007,2.9000000000000004,0.009723826872980124,0.9882145891541718,-9.157331405623296
