Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
Syracuse,72,UNC Asheville,65,Syracuse
Kansas State,70,Southern Miss,64,Kansas State
Vanderbilt,79,Harvard,70,Vanderbilt
Wisconsin,73,Montana,49,Wisconsin
Cincinnati,65,Texas,59,Cincinnati
Florida State,66,St. Bonaventure,63,Florida State
Gonzaga,77,West Virginia,54,Gonzaga
Ohio State,78,Loyola (MD),59,Ohio State
Syracuse,75,Kansas State,59,Syracuse
Vanderbilt,57,Wisconsin,60,Wisconsin
Cincinnati,62,Florida State,56,Cincinnati
Gonzaga,66,Ohio State,73,Ohio State
Syracuse,64,Wisconsin,63,Syracuse
Cincinnati,66,Ohio State,81,Ohio State
Syracuse,70,Ohio State,77,Ohio State
Ohio State,65,South Florida,65,South Florida
California,54,Vermont,71,Vermont
Lamar,59,UNC,77,UNC
Vermont,58,Creighton,58,Creighton
Alabama,57,Temple,44,Alabama
South Florida,58,Michigan,60,Michigan
Ohio,65,San Diego State,65,San Diego State
NC State,79,Georgetown,74,NC State
Belmont,59,Saint Mary's,69,Saint Mary's
Purdue,72,Kansas,65,Purdue
Detroit Mercy,50,UNC,87,UNC
Creighton,73,South Florida,56,Creighton
Ohio,62,NC State,66,NC State
Georgetown,63,Purdue,60,Georgetown
Kansas,63,UNC,73,UNC
Ohio,65,NC State,57,Ohio
Kansas,60,UNC,67,UNC
Kansas,80,Kansas,59,Kansas
Western Kentucky,59,Mississippi Valley State,58,Western Kentucky
Kentucky,81,Western Kentucky,66,Kentucky
Iowa State,77,UConn,64,Iowa State
Wichita State,59,VCU,62,VCU
Indiana,79,New Mexico State,66,Indiana
UNLV,64,Colorado,68,Colorado
Baylor,68,South Dakota State,60,Baylor
Notre Dame,63,Xavier,67,Xavier
Duke,70,Lehigh,75,Lehigh
Kentucky,87,Iowa State,71,Kentucky
VCU,61,Indiana,63,Indiana
Colorado,63,Baylor,80,Baylor
Xavier,70,Lehigh,58,Xavier
Kentucky,102,Indiana,90,Kentucky
Baylor,75,Xavier,70,Baylor
Kentucky,82,Baylor,70,Kentucky
Kentucky,72,Iona,72,Iona
BYU,78,Michigan State,89,Michigan State
LIU,67,Memphis,54,LIU
Saint Louis,61,New Mexico,75,New Mexico
Long Beach State,68,Louisville,69,Louisville
Davidson,62,Murray State,58,Davidson
Colorado State,41,Marquette,88,Marquette
BYU,68,Florida,71,Florida
Virginia,45,Missouri,84,Missouri
Norfolk State,86,Michigan State,65,Norfolk State
Saint Louis,61,New Mexico,56,Saint Louis
Louisville,59,Murray State,53,Louisville
Marquette,62,Florida,84,Florida
Norfolk State,50,Michigan State,44,Norfolk State
Louisville,57,Marquette,58,Marquette
Florida,68,Louisville,72,Louisville
Florida,68,Louisville,62,Florida
Ohio State,62,Kansas,64,Kansas
Kentucky,69,Louisville,61,Kentucky
Kansas,59,Kentucky,67,Kentucky
