Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
Duke,71,Siena,65,Duke
Ohio State,64,TCU,66,TCU
St. John's (NY),79,Northern Iowa,53,St. John's (NY)
Kansas,68,California Baptist,60,Kansas
Louisville,83,South Florida,79,Louisville
Michigan State,92,North Dakota State,67,Michigan State
UCLA,75,UCF,71,UCLA
UConn,82,Furman,71,UConn
Duke,81,TCU,58,Duke
St. John's (NY),67,Kansas,65,St. John's (NY)
Louisville,69,Michigan State,77,Michigan State
UCLA,57,UConn,73,UConn
Duke,83,St. John's (NY),83,St. John's (NY)
Michigan State,83,UConn,83,UConn
UMBC,83,Howard,86,Howard
Miami (OH),89,SMU,79,Miami (OH)
Michigan,101,Howard,80,Michigan
Georgia,77,Saint Louis,102,Saint Louis
Texas Tech,91,Akron,71,Texas Tech
Alabama,90,Hofstra,70,Alabama
Tennessee,78,Miami (OH),56,Tennessee
Virginia,82,Wright State,73,Virginia
Kentucky,89,Santa Clara,84,Kentucky
Iowa State,108,Tennessee State,74,Iowa State
Michigan,95,Saint Louis,72,Michigan
Texas Tech,65,Alabama,90,Alabama
Tennessee,79,Virginia,72,Tennessee
Kentucky,63,Iowa State,82,Iowa State
Michigan,67,Alabama,67,Alabama
Tennessee,67,Iowa State,67,Iowa State
Prairie View A&M,67,Lehigh,55,Prairie View A&M
Florida,114,Prairie View A&M,55,Florida
Clemson,61,Iowa,67,Iowa
Vanderbilt,78,McNeese,68,Vanderbilt
Nebraska,76,Troy,47,Nebraska
UNC,78,VCU,82,VCU
Illinois,105,Penn,70,Illinois
Saint Mary's,50,Texas A&M,63,Texas A&M
Houston,78,Idaho,47,Houston
Florida,72,Iowa,73,Iowa
Vanderbilt,72,Nebraska,74,Nebraska
VCU,55,Illinois,76,Illinois
Texas A&M,57,Houston,88,Houston
Iowa,68,Nebraska,68,Nebraska
Illinois,68,Houston,68,Houston
Texas,68,NC State,66,Texas
Arizona,92,LIU,58,Arizona
Villanova,76,Utah State,86,Utah State
Wisconsin,82,High Point,83,High Point
Arkansas,97,Hawaii,78,Arkansas
BYU,71,Texas,79,Texas
Gonzaga,73,Kennesaw State,64,Gonzaga
Miami (FL),80,Missouri,66,Miami (FL)
Purdue,104,Queens (NC),71,Purdue
Arizona,78,Utah State,66,Arizona
High Point,88,Arkansas,94,Arkansas
Texas,74,Gonzaga,68,Texas
Miami (FL),69,Purdue,79,Purdue
