Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
UConn,89,St. Francis (NY),33,UConn
Rutgers,79,Seton Hall,66,Rutgers
Texas,66,Western Kentucky,64,Texas
California,78,Wichita State,66,California
South Florida,73,LSU,64,South Florida
Louisville,86,BYU,53,Louisville
Dayton,78,Iowa State,66,Dayton
Kentucky,97,Tennessee State,52,Kentucky
UConn,91,Rutgers,55,UConn
Texas,73,California,70,Texas
South Florida,52,Louisville,60,Louisville
Dayton,99,Kentucky,94,Dayton
UConn,105,Texas,54,UConn
Louisville,66,Dayton,82,Dayton
UConn,91,Dayton,70,UConn
UConn,81,South Carolina,81,South Carolina
Savannah State,48,Syracuse,72,Syracuse
Nebraska,69,Ohio State,90,Ohio State
James Madison,80,UNC,71,James Madison
Liberty,65,Texas A&M,60,Liberty
Little Rock,69,Arizona State,74,Arizona State
Ohio,55,Florida Gulf Coast,75,Florida Gulf Coast
Oklahoma State,67,Florida State,91,Florida State
Alabama State,49,South Carolina,97,South Carolina
Syracuse,68,Ohio State,84,Ohio State
UNC,86,Little Rock,54,UNC
Arizona State,57,Florida Gulf Coast,47,Arizona State
Florida State,65,South Carolina,67,South Carolina
UNC,65,Arizona State,65,Arizona State
Florida State,66,South Carolina,80,South Carolina
Florida State,74,South Carolina,77,South Carolina
Notre Dame,77,Montana,43,Notre Dame
Minnesota,72,DePaul,79,DePaul
Oklahoma,111,Quinnipiac,84,Oklahoma
Stanford,73,Cal State Northridge,60,Stanford
Washington,80,Miami (FL),86,Miami (FL)
Iowa,75,American,67,Iowa
Northwestern,55,Arkansas,57,Arkansas
Baylor,77,Northwestern State,36,Baylor
Notre Dame,79,DePaul,67,Notre Dame
Oklahoma,76,Stanford,86,Stanford
Miami (FL),70,Iowa,88,Iowa
Arkansas,44,Baylor,73,Baylor
Notre Dame,81,Stanford,60,Notre Dame
Iowa,66,Baylor,81,Baylor
Notre Dame,77,Baylor,68,Notre Dame
Notre Dame,75,Maryland,75,Maryland
New Mexico State,57,Princeton,80,Princeton
Green Bay,70,Mississippi State,57,Green Bay
Tulane,47,Duke,54,Duke
Albany (NY),52,George Washington,69,George Washington
Gonzaga,82,Oregon State,74,Gonzaga
South Dakota State,62,Chattanooga,40,South Dakota State
Pitt,51,Tennessee,72,Tennessee
Boise State,61,Maryland,85,Maryland
Princeton,70,Mississippi State,56,Princeton
Duke,64,Gonzaga,76,Gonzaga
Oregon State,64,Pitt,67,Pitt
Tennessee,77,Maryland,65,Tennessee
Duke,55,Gonzaga,69,Gonzaga
Tennessee,73,Maryland,58,Tennessee
Tennessee,48,Maryland,81,Maryland
UConn,81,Maryland,58,UConn
South Carolina,65,Notre Dame,66,Notre Dame
UConn,63,Notre Dame,53,UConn
