Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
UConn,101,Robert Morris,49,UConn
Seton Hall,76,Duquesne,97,Duquesne
Mississippi State,60,Chattanooga,50,Mississippi State
Michigan State,74,Belmont,60,Michigan State
South Florida,48,Colorado State,45,South Florida
UCLA,66,Hawaii,50,UCLA
BYU,69,Missouri,78,Missouri
Texas,86,Alabama State,42,Texas
UConn,97,Duquesne,51,UConn
Mississippi State,74,Michigan State,72,Mississippi State
South Florida,67,UCLA,72,UCLA
Missouri,55,Texas,73,Texas
UConn,98,Mississippi State,38,UConn
UCLA,64,Texas,72,Texas
UConn,86,Texas,65,UConn
UConn,89,Baylor,89,Baylor
Idaho,59,St. John's (NY),57,Idaho
Auburn,68,Florida State,72,Florida State
Middle Tennessee,55,Texas A&M,74,Texas A&M
Missouri State,65,DePaul,97,DePaul
James Madison,67,Louisville,87,Louisville
Central Arkansas,60,Oklahoma State,54,Central Arkansas
St. Bonaventure,65,Oregon State,73,Oregon State
Troy,31,Baylor,84,Baylor
Auburn,52,Florida State,74,Florida State
Texas A&M,56,DePaul,73,DePaul
Louisville,72,St. Bonaventure,40,Louisville
Oregon State,69,Baylor,78,Baylor
Florida State,58,DePaul,71,DePaul
Oregon State,83,Baylor,57,Oregon State
Oregon State,60,Oregon State,95,Oregon State
Notre Dame,95,North Carolina A&T,61,Notre Dame
Georgia,58,Indiana,62,Indiana
Miami (FL),71,South Dakota State,74,South Dakota State
Stanford,85,San Francisco,58,Stanford
Oklahoma,61,Purdue,45,Oklahoma
Kentucky,85,UNC Asheville,31,Kentucky
Washington,65,Penn,53,Washington
Maryland,74,Iona,58,Maryland
Notre Dame,87,Indiana,70,Notre Dame
South Dakota State,65,Stanford,66,Stanford
Oklahoma,58,Kentucky,79,Kentucky
Washington,74,Maryland,65,Washington
Notre Dame,84,Stanford,90,Stanford
Kentucky,72,Washington,85,Washington
Stanford,76,Washington,85,Washington
Washington,77,South Carolina,77,South Carolina
Jacksonville,41,George Washington,51,George Washington
Kansas State,56,Florida,59,Florida
Albany (NY),61,Syracuse,73,Syracuse
Army,56,West Virginia,74,West Virginia
Princeton,65,Ohio State,88,Ohio State
Buffalo,69,Tennessee,59,Buffalo
Green Bay,53,Arizona State,74,Arizona State
New Mexico State,52,South Carolina,73,South Carolina
Kansas State,47,Albany (NY),59,Albany (NY)
Syracuse,76,West Virginia,81,West Virginia
Ohio State,88,Tennessee,75,Ohio State
Arizona State,64,South Carolina,72,South Carolina
Syracuse,80,Ohio State,62,Syracuse
Tennessee,78,Syracuse,89,Syracuse
Tennessee,67,Syracuse,80,Syracuse
UConn,80,Oregon State,51,UConn
Washington,59,Syracuse,80,Syracuse
UConn,82,Syracuse,51,UConn
