Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
UConn,116,Albany (NY),55,UConn
Syracuse,85,Iowa State,65,Syracuse
Texas A&M,63,Penn,61,Texas A&M
UCLA,83,Boise State,56,UCLA
West Virginia,75,Elon,62,West Virginia
Maryland,103,Bucknell,61,Maryland
Temple,70,Oregon,71,Oregon
Duke,94,Hampton,31,Duke
UConn,94,Syracuse,64,UConn
Texas A&M,43,UCLA,75,UCLA
West Virginia,56,Maryland,83,Maryland
Oregon,74,Duke,65,Oregon
UConn,86,UCLA,71,UConn
Maryland,63,Oregon,77,Oregon
UConn,90,Oregon,52,UConn
UConn,79,Notre Dame,79,Notre Dame
Robert Morris,49,Green Bay,62,Green Bay
Purdue,74,Ohio State,70,Purdue
Western Kentucky,63,Kentucky,73,Kentucky
Belmont,70,NC State,62,Belmont
Auburn,48,Texas,78,Texas
Central Arkansas,50,Kansas State,67,Kansas State
Drake,54,Stanford,72,Stanford
New Mexico State,64,Notre Dame,88,Notre Dame
Purdue,82,Ohio State,82,Ohio State
Kentucky,68,NC State,80,NC State
Texas,84,Kansas State,48,Texas
Stanford,69,Notre Dame,99,Notre Dame
Ohio State,76,Texas,66,Ohio State
Stanford,77,Notre Dame,75,Stanford
Stanford,76,Stanford,119,Stanford
Baylor,119,Texas Southern,30,Baylor
LSU,52,California,55,California
Tennessee,66,Dayton,57,Tennessee
Louisville,82,Chattanooga,62,Louisville
Oklahoma,75,Gonzaga,62,Oklahoma
Washington,91,Montana State,63,Washington
DePaul,88,Northern Iowa,67,DePaul
Mississippi State,110,Troy,69,Mississippi State
Baylor,86,California,46,Baylor
Tennessee,64,Louisville,75,Louisville
Oklahoma,82,Washington,108,Washington
DePaul,71,Mississippi State,92,Mississippi State
Baylor,97,Louisville,63,Baylor
Washington,64,Mississippi State,75,Mississippi State
Baylor,85,Mississippi State,94,Mississippi State
Mississippi State,90,South Carolina,90,South Carolina
UNC Asheville,40,Arizona State,73,Arizona State
Michigan State,61,Marquette,65,Marquette
Quinnipiac,68,Miami (FL),62,Quinnipiac
Florida Gulf Coast,60,Missouri,66,Missouri
South Florida,64,Florida State,87,Florida State
Western Illinois,66,Creighton,76,Creighton
Toledo,49,Oregon State,56,Oregon State
Long Beach State,55,South Carolina,71,South Carolina
Arizona State,68,Quinnipiac,85,Quinnipiac
Miami (FL),78,Missouri,55,Miami (FL)
Florida State,77,Creighton,52,Florida State
Oregon State,64,South Carolina,100,South Carolina
Quinnipiac,58,Florida State,66,Florida State
Oregon State,53,South Carolina,71,South Carolina
Florida State,64,South Carolina,64,South Carolina
UConn,64,Mississippi State,66,Mississippi State
Stanford,53,South Carolina,62,South Carolina
Mississippi State,55,South Carolina,67,South Carolina
