Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
Stanford,87,Utah Valley,44,Stanford
Oklahoma State,84,Wake Forest,61,Oklahoma State
Missouri State,70,UC Davis,51,Missouri State
Arkansas,62,Wright State,66,Wright State
Oregon,67,South Dakota,47,Oregon
Georgia,67,Drexel,53,Georgia
Northwestern,62,UCF,51,Northwestern
Louisville,74,Marist,43,Louisville
Stanford,73,Oklahoma State,62,Stanford
Missouri State,64,Wright State,39,Missouri State
Oregon,57,Georgia,50,Oregon
Northwestern,53,Louisville,62,Louisville
Stanford,89,Missouri State,62,Stanford
Oregon,42,Louisville,60,Louisville
Stanford,78,Louisville,63,Stanford
Stanford,79,South Carolina,79,South Carolina
Mercer,53,Oregon State,83,Oregon State
Florida State,59,Georgia Tech,54,Florida State
Stephen F. Austin,52,West Virginia,77,West Virginia
Lehigh,53,Texas,81,Texas
Bradley,62,UCLA,69,UCLA
Wyoming,48,Alabama,80,Alabama
UNC,71,Maryland,98,Maryland
Mount St. Mary's,45,South Carolina,59,South Carolina
Oregon State,42,Georgia Tech,73,Georgia Tech
West Virginia,56,Texas,71,Texas
UCLA,62,Alabama,64,Alabama
Maryland,100,South Carolina,76,Maryland
Georgia Tech,65,Texas,64,Georgia Tech
Maryland,61,South Carolina,62,South Carolina
Texas,34,South Carolina,79,South Carolina
NC State,79,North Carolina A&T,58,NC State
South Florida,57,Washington State,53,South Florida
Gonzaga,59,Belmont,64,Belmont
Indiana,63,VCU,32,Indiana
Rutgers,66,BYU,69,BYU
Arizona,79,Stony Brook,44,Arizona
Iowa State,79,Michigan State,75,Iowa State
Texas A&M,84,Troy,80,Texas A&M
NC State,79,South Florida,67,NC State
Belmont,48,Indiana,70,Indiana
BYU,46,Arizona,52,Arizona
Iowa State,82,Texas A&M,84,Texas A&M
NC State,70,Indiana,73,Indiana
Arizona,74,Texas A&M,59,Arizona
Indiana,53,Arizona,66,Arizona
Arizona,102,UConn,102,UConn
High Point,59,Syracuse,72,Syracuse
South Dakota State,55,Iowa,87,Iowa
Central Michigan,72,Kentucky,71,Central Michigan
Idaho State,63,Michigan,87,Michigan
Florida Gulf Coast,66,Tennessee,87,Tennessee
Middle Tennessee,62,Virginia Tech,70,Virginia Tech
Marquette,63,Baylor,101,Baylor
Jackson State,52,UConn,83,UConn
Syracuse,47,Iowa,86,Iowa
Kentucky,72,Michigan,70,Kentucky
Tennessee,55,Virginia Tech,48,Tennessee
Baylor,90,UConn,92,UConn
Iowa,72,Michigan,75,Michigan
Baylor,78,UConn,69,Baylor
Baylor,67,UConn,66,Baylor
Stanford,66,South Carolina,65,Stanford
Arizona,69,UConn,59,Arizona
Stanford,54,Arizona,53,Stanford
