Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
Presbyterian,49,Sacred Heart,42,Presbyterian
South Carolina,91,Presbyterian,39,South Carolina
UNC,59,Michigan State,56,UNC
Oklahoma,73,Florida Gulf Coast,70,Oklahoma
Indiana,89,Fairfield,56,Indiana
Nebraska,61,Texas A&M,59,Nebraska
Oregon State,73,Eastern Washington,51,Oregon State
Ole Miss,67,Marquette,55,Ole Miss
Notre Dame,81,Kent State,67,Notre Dame
South Carolina,88,UNC,41,South Carolina
Oklahoma,68,Indiana,75,Indiana
Nebraska,51,Oregon State,61,Oregon State
Ole Miss,56,Notre Dame,71,Notre Dame
South Carolina,79,Indiana,75,South Carolina
Oregon State,70,Notre Dame,65,Oregon State
South Carolina,70,Oregon State,58,South Carolina
South Carolina,45,UT-Martin,45,UT-Martin
Holy Cross,72,Iowa,91,Iowa
Holy Cross,65,West Virginia,63,Holy Cross
Princeton,53,Colorado,86,Colorado
Drake,72,Kansas State,78,Kansas State
Portland,65,Louisville,69,Louisville
Middle Tennessee,71,LSU,70,Middle Tennessee
Rice,60,Creighton,87,Creighton
UNLV,73,UCLA,84,UCLA
California Baptist,55,Iowa,64,Iowa
West Virginia,54,Colorado,63,Colorado
Kansas State,50,Middle Tennessee,56,Middle Tennessee
LSU,83,Creighton,63,LSU
UCLA,67,Iowa,89,Iowa
Colorado,68,LSU,78,LSU
UCLA,69,Iowa,94,Iowa
LSU,87,Iowa,69,LSU
Arizona,69,Auburn,59,Arizona
Columbia,68,Vanderbilt,72,Vanderbilt
USC,87,Texas A&M-Corpus Christi,55,USC
Kansas,81,Michigan,72,Kansas
Baylor,80,Vanderbilt,63,Baylor
Virginia Tech,92,Marshall,49,Virginia Tech
Syracuse,74,Arizona,69,Syracuse
UConn,86,Jackson State,64,UConn
Duke,72,Richmond,61,Duke
Ohio State,80,Maine,57,Ohio State
USC,73,Kansas,55,USC
Baylor,75,Virginia Tech,72,Baylor
Syracuse,64,UConn,72,UConn
Duke,75,Ohio State,63,Duke
USC,74,Baylor,70,USC
UConn,53,Duke,45,UConn
USC,73,UConn,80,UConn
UConn,82,Texas,82,Texas
Drexel,42,Alabama,82,Alabama
Florida State,74,Utah,68,Florida State
South Dakota State,54,Gonzaga,75,Gonzaga
UC Irvine,56,Tennessee,92,Tennessee
Green Bay,63,NC State,64,NC State
Chattanooga,45,Iowa State,93,Iowa State
Maryland,86,Stanford,79,Maryland
Norfolk State,50,Texas,65,Texas
Alabama,54,Utah,66,Utah
Gonzaga,77,Tennessee,72,Gonzaga
NC State,79,Iowa State,81,Iowa State
Stanford,87,Texas,69,Stanford
Gonzaga,47,NC State,77,NC State
Stanford,67,Texas,66,Stanford
NC State,76,NC State,78,NC State
South Carolina,78,NC State,59,South Carolina
Iowa,71,UConn,69,Iowa
South Carolina,87,Iowa,75,South Carolina
