ID,Year,Team,Rank,Wins,Losses,WL%,SOS,SRS,FG/G,OREB/G,Total Points,FGA,FTA,AST,TOV,TS%,TOV%,AST%,URL
1,2023,Mississippi State,11,22,11,0.6667,10.58,22.61,26.5,11.7,2345,1961,602,516,525,0.5267579564037593,19.08480195428372,59.038901601830666,https://www.sports-reference.com/cbb/schools/mississippi-state/women/2023.html
2,2023,Illinois,11,22,10,0.6875,9.51,19.6,28.8,12.3,2410,2010,451,449,413,0.5456340222057199,15.75469970703125,48.80434782608695,https://www.sports-reference.com/cbb/schools/illinois/women/2023.html
3,2023,South Carolina,1,36,1,0.973,15.7,44.26,30.3,18.4,2972,2425,826,614,468,0.5329144611323894,14.371522275859528,54.82142857142857,https://www.sports-reference.com/cbb/schools/south-carolina/women/2023.html
4,2023,Norfolk State,16,26,7,0.7879,-11.7,-3.73,22.5,14.1,2034,1923,622,367,575,0.46297139319336456,20.745540610748716,49.32795698924731,https://www.sports-reference.com/cbb/schools/norfolk-state/women/2023.html
5,2023,South Florida,8,27,7,0.7941,8.68,18.86,25.4,12.4,2385,1951,589,511,517,0.5395536974698665,18.95745024127664,59.14351851851852,https://www.sports-reference.com/cbb/schools/south-florida/women/2023.html
6,2023,Marquette,9,21,11,0.6562,12.32,19.1,25.1,12.5,2080,1979,407,527,432,0.4819098457888494,16.679021497405486,65.54726368159204,https://www.sports-reference.com/cbb/schools/marquette/women/2023.html
7,2023,Oklahoma,5,26,7,0.7879,13.19,21.92,30.5,13.7,2777,2235,622,686,556,0.5534783232616356,18.142187765117402,68.05555555555556,https://www.sports-reference.com/cbb/schools/oklahoma/women/2023.html
8,2023,Portland,12,23,9,0.7188,6.18,10.24,25.5,10.4,2218,1784,546,540,518,0.5478599375568114,20.375731638240293,66.25766871165644,https://www.sports-reference.com/cbb/schools/portland/women/2023.html
9,2023,UCLA,4,27,10,0.7297,16.87,24.93,25.2,14.6,2580,2363,607,542,490,0.4904793770531695,15.704725519858465,58.21697099892589,https://www.sports-reference.com/cbb/schools/ucla/women/2023.html
10,2023,Sacramento State,13,25,8,0.7576,-1.78,6.85,24.5,9.7,2261,1739,482,425,486,0.5794226787215286,19.941897680831158,52.533992583436344,https://www.sports-reference.com/cbb/schools/sacramento-state/women/2023.html
11,2023,Creighton,6,22,9,0.7097,13.96,23.09,26.5,9.2,2200,1839,360,532,362,0.5507159307099229,15.342883784012884,64.8780487804878,https://www.sports-reference.com/cbb/schools/creighton/women/2023.html
12,2023,Notre Dame,3,27,6,0.8182,14.68,29.65,27.4,13.8,2438,1978,690,545,522,0.5342741935483871,18.61891853331431,60.28761061946903,https://www.sports-reference.com/cbb/schools/notre-dame/women/2023.html
13,2023,Southern Utah,14,23,10,0.697,1.83,1.8,25.3,11.2,2266,1935,574,464,553,0.5179286510998555,20.17835770791371,55.50239234449761,https://www.sports-reference.com/cbb/schools/southern-utah/women/2023.html
14,2023,Arizona,7,22,10,0.6875,14.9,23.87,28.0,12.1,2370,2045,597,469,399,0.513502738681273,14.741306693070479,52.402234636871505,https://www.sports-reference.com/cbb/schools/arizona/women/2023.html
15,2023,West Virginia,10,19,12,0.6129,10.79,15.31,24.0,10.0,2045,1910,501,348,414,0.47994780420945904,16.270770778638916,46.774193548387096,https://www.sports-reference.com/cbb/schools/west-virginia/women/2023.html
16,2023,Maryland,2,28,7,0.8,18.11,28.51,28.9,11.7,2770,2263,645,593,470,0.5438196953039107,15.579421904004242,58.59683794466403,https://www.sports-reference.com/cbb/schools/maryland/women/2023.html
17,2023,Holy Cross,15,24,9,0.7273,-9.05,-3.52,23.1,9.8,2038,1799,473,446,494,0.5076926142931165,19.751151484135107,58.60709592641261,https://www.sports-reference.com/cbb/schools/holy-cross/women/2023.html
18,2023,Monmouth,16,18,16,0.5294,-7.59,-7.19,23.0,11.9,2185,1903,510,447,589,0.5135376515934944,21.683109998527463,57.088122605363985,https://www.sports-reference.com/cbb/schools/monmouth/women/2023.html
19,2023,Tennessee Tech,16,23,10,0.697,-8.23,-3.81,24.6,11.3,2268,1905,555,509,448,0.5276381909547739,17.249345448945018,62.607626076260765,https://www.sports-reference.com/cbb/schools/tennessee-tech/women/2023.html
20,2023,Indiana,1,28,4,0.875,14.66,33.51,29.7,8.8,2589,1912,599,584,404,0.595019213443895,15.6615856967855,61.409043112513146,https://www.sports-reference.com/cbb/schools/indiana/women/2023.html
21,2023,Oklahoma State,8,21,12,0.6364,13.55,20.64,27.7,9.7,2485,2026,546,485,440,0.5482649675232986,16.258720586496395,53.06345733041576,https://www.sports-reference.com/cbb/schools/oklahoma-state/women/2023.html
22,2023,Miami (FL),9,22,13,0.6286,14.25,20.25,26.0,12.7,2437,2106,600,512,557,0.5141350210970465,19.02972326614281,56.26373626373626,https://www.sports-reference.com/cbb/schools/miami-fl/women/2023.html
23,2023,Washington State,5,23,11,0.6765,15.73,21.47,24.9,10.8,2279,1963,495,509,510,0.5225146735143066,18.953471086665676,60.09445100354191,https://www.sports-reference.com/cbb/schools/washington-state/women/2023.html
24,2023,Florida Gulf Coast,12,33,4,0.8919,-1.47,17.39,28.2,8.0,2863,2187,497,650,456,0.5950500482192146,15.934695703223282,62.38003838771593,https://www.sports-reference.com/cbb/schools/florida-gulf-coast/women/2023.html
25,2023,Villanova,4,30,7,0.8108,12.51,24.61,26.5,11.2,2620,2240,534,615,377,0.529301483660342,13.218979228320173,62.755102040816325,https://www.sports-reference.com/cbb/schools/villanova/women/2023.html
26,2023,Cleveland State,13,30,5,0.8571,-5.62,10.47,25.3,13.3,2592,2083,832,452,524,0.5291783036895488,17.624820051932677,50.958286358511835,https://www.sports-reference.com/cbb/schools/cleveland-state/women/2023.html
27,2023,Michigan,6,23,10,0.697,13.78,23.9,26.7,10.4,2426,1896,606,516,532,0.5608885436318574,19.74289701036131,58.63636363636363,https://www.sports-reference.com/cbb/schools/michigan/women/2023.html
28,2023,UNLV,11,31,3,0.9118,0.88,15.18,28.2,11.6,2605,2080,611,526,429,0.5545290441239079,15.443654062149006,54.906054279749476,https://www.sports-reference.com/cbb/schools/nevada-las-vegas/women/2023.html
29,2023,LSU,3,34,2,0.9444,10.78,35.14,30.2,17.0,2963,2345,867,538,493,0.5433746075525953,15.31303191819797,49.494020239190434,https://www.sports-reference.com/cbb/schools/louisiana-state/women/2023.html
30,2023,Hawaii,14,18,15,0.5455,1.15,1.42,21.0,9.6,1989,1756,539,387,508,0.49895643099399944,20.31057589278575,55.84415584415584,https://www.sports-reference.com/cbb/schools/hawaii/women/2023.html
31,2023,NC State,7,20,12,0.625,16.68,24.93,26.8,10.7,2266,1969,519,430,425,0.5156187424909892,16.206775576198538,50.116550116550115,https://www.sports-reference.com/cbb/schools/north-carolina-state/women/2023.html
32,2023,Princeton,10,24,6,0.8,4.35,16.39,24.5,13.0,1956,1783,470,418,388,0.4915066840888532,16.31760450836908,56.87074829931973,https://www.sports-reference.com/cbb/schools/princeton/women/2023.html
33,2023,Utah,2,27,5,0.8438,13.38,30.23,29.0,10.5,2650,1917,680,585,462,0.5978702283187438,17.250392054364873,63.03879310344828,https://www.sports-reference.com/cbb/schools/utah/women/2023.html
34,2023,Gardner-Webb,15,29,5,0.8529,-11.3,-1.21,27.5,13.8,2617,2147,700,404,522,0.5329938900203666,17.534430634867316,43.162393162393165,https://www.sports-reference.com/cbb/schools/gardner-webb/women/2023.html
35,2023,St. John's (NY),11,23,9,0.7188,9.31,15.03,23.7,10.5,2089,1735,488,412,448,0.535717949243994,18.684416862686216,54.425363276089826,https://www.sports-reference.com/cbb/schools/st-johns-ny/women/2023.html
36,2023,Purdue,11,19,11,0.6333,14.04,19.31,25.8,8.9,2114,1723,453,473,460,0.549856423488285,19.30890896269183,61.03225806451613,https://www.sports-reference.com/cbb/schools/purdue/women/2023.html
37,2023,Virginia Tech,1,31,5,0.8611,14.45,29.12,25.9,10.3,2607,2068,609,524,488,0.5580146920323978,17.280698026884235,56.28356605800215,https://www.sports-reference.com/cbb/schools/virginia-tech/women/2023.html
38,2023,Chattanooga,16,20,13,0.6061,-4.8,-1.86,21.0,7.3,1941,1687,496,356,466,0.509384644454242,19.652165111924564,51.445086705202314,https://www.sports-reference.com/cbb/schools/chattanooga/women/2023.html
39,2023,USC,8,21,10,0.6774,13.05,22.21,22.4,13.5,1991,1829,566,428,478,0.47905718850455237,18.70080280433796,61.76046176046176,https://www.sports-reference.com/cbb/schools/southern-california/women/2023.html
40,2023,South Dakota State,9,29,6,0.8286,1.63,19.4,27.9,11.1,2742,2060,771,586,473,0.5714309531351596,16.4679831768933,60.1025641025641,https://www.sports-reference.com/cbb/schools/south-dakota-state/women/2023.html
41,2023,Iowa State,5,22,10,0.6875,16.49,27.31,26.0,11.1,2414,1969,583,471,430,0.5423451597828822,16.19268542507682,56.61057692307692,https://www.sports-reference.com/cbb/schools/iowa-state/women/2023.html
