ID,Year,Team,Rank,Wins,Losses,WL%,SOS,SRS,FG/G,OREB/G,Total Points,FGA,FTA,AST,TOV,TS%,TOV%,AST%,URL
1,2015,UConn,1,38,1,0.9744,11.0,51.64,34.8,11.6,3481,2513,605,828,466,0.6262593552101324,14.3596696659682,61.06194690265487,https://www.sports-reference.com/cbb/schools/connecticut/women/2015.html
2,2015,St. Francis (NY),16,15,19,0.4412,-6.91,-8.38,21.0,7.9,2023,1788,490,430,475,0.5048412856857657,19.16404421851045,60.308555399719495,https://www.sports-reference.com/cbb/schools/st-francis-ny/women/2015.html
3,2015,Rutgers,8,23,10,0.697,13.32,20.84,27.6,11.3,2266,2094,530,530,501,0.48685115159848746,17.714447351672444,58.177826564215145,https://www.sports-reference.com/cbb/schools/rutgers/women/2015.html
4,2015,Seton Hall,9,28,6,0.8235,3.24,13.83,28.1,12.0,2569,2263,658,439,410,0.5032281823452901,13.839569015567827,46.0167714884696,https://www.sports-reference.com/cbb/schools/seton-hall/women/2015.html
5,2015,Texas,5,24,11,0.6857,13.28,20.82,25.5,12.3,2371,2107,657,527,560,0.49476645187138996,18.944006928093962,58.94854586129754,https://www.sports-reference.com/cbb/schools/texas/women/2015.html
6,2015,Western Kentucky,12,30,5,0.8571,0.73,14.5,28.1,12.4,2647,2173,718,540,501,0.5317567458978191,16.75630117193771,54.93387589013225,https://www.sports-reference.com/cbb/schools/western-kentucky/women/2015.html
7,2015,California,4,24,10,0.7059,11.96,19.13,26.7,10.4,2373,2050,621,562,523,0.5107091820044422,18.3751194558435,61.96251378169791,https://www.sports-reference.com/cbb/schools/california/women/2015.html
8,2015,Wichita State,13,29,5,0.8529,-2.06,10.62,24.8,10.2,2191,1943,459,448,423,0.5107321348649858,16.47221919344538,53.08056872037915,https://www.sports-reference.com/cbb/schools/wichita-state/women/2015.html
9,2015,South Florida,6,27,8,0.7714,10.26,21.92,25.7,12.4,2496,2134,681,437,498,0.5128120839565425,16.987078904640406,48.60956618464961,https://www.sports-reference.com/cbb/schools/south-florida/women/2015.html
10,2015,LSU,11,17,14,0.5484,10.29,13.07,24.1,13.2,1961,1849,557,345,518,0.46822470965770174,19.830939328045083,46.18473895582329,https://www.sports-reference.com/cbb/schools/louisiana-state/women/2015.html
11,2015,Louisville,3,27,7,0.7941,11.02,25.69,27.5,13.7,2486,2138,744,587,476,0.5041860012330857,16.18299018141268,62.84796573875803,https://www.sports-reference.com/cbb/schools/louisville/women/2015.html
12,2015,BYU,14,23,10,0.697,2.9,5.62,24.2,7.8,2248,1835,617,532,484,0.5335915840644108,18.6837960532411,66.75031367628607,https://www.sports-reference.com/cbb/schools/brigham-young/women/2015.html
13,2015,Dayton,7,28,7,0.8,7.56,18.48,26.9,11.4,2678,2119,772,490,546,0.5446011681064636,18.17165222253285,52.07226354941552,https://www.sports-reference.com/cbb/schools/dayton/women/2015.html
14,2015,Iowa State,10,18,13,0.5806,9.3,15.04,23.5,9.1,2151,1802,551,483,371,0.5260609262194048,15.359520418640082,66.2551440329218,https://www.sports-reference.com/cbb/schools/iowa-state/women/2015.html
15,2015,Kentucky,2,24,10,0.7059,13.55,20.2,26.6,13.8,2571,2271,903,370,547,0.48176380644000716,17.012303596531606,40.88397790055249,https://www.sports-reference.com/cbb/schools/kentucky/women/2015.html
16,2015,Tennessee State,15,18,13,0.5806,-4.23,-5.55,24.5,14.1,2073,1998,630,385,524,0.4555643459915612,18.71963418119463,50.59132720105125,https://www.sports-reference.com/cbb/schools/tennessee-state/women/2015.html
17,2015,South Carolina,1,34,3,0.9189,12.42,34.15,28.3,12.3,2807,2167,792,616,515,0.5579452033011593,16.994007549959083,58.778625954198475,https://www.sports-reference.com/cbb/schools/south-carolina/women/2015.html
18,2015,Savannah State,16,21,11,0.6562,-6.0,-6.48,24.7,13.6,2034,1902,567,361,558,0.4726978637960845,20.59435758891005,45.63843236409608,https://www.sports-reference.com/cbb/schools/savannah-state/women/2015.html
19,2015,Syracuse,8,22,10,0.6875,10.69,18.38,24.1,14.5,2224,2094,671,400,431,0.4654199661817147,15.282387314554791,51.94805194805195,https://www.sports-reference.com/cbb/schools/syracuse/women/2015.html
20,2015,Nebraska,9,21,11,0.6562,12.48,18.7,25.1,9.6,2148,1973,497,473,425,0.4900350416119142,16.241955455004053,58.9041095890411,https://www.sports-reference.com/cbb/schools/nebraska/women/2015.html
