ID,Year,Team,Rank,Wins,Losses,WL%,SOS,SRS,FG/G,OREB/G,Total Points,FGA,FTA,AST,TOV,TS%,TOV%,AST%,URL
1,2016,UConn,1,38,0,1.0,12.62,52.33,34.2,11.2,3346,2453,566,821,448,0.6191618184778908,14.222041624868256,63.202463433410315,https://www.sports-reference.com/cbb/schools/connecticut/women/2016.html
2,2016,Robert Morris,16,20,13,0.6061,-7.93,-5.86,23.3,11.5,2107,1945,509,436,517,0.4857166568309236,19.24823899090083,56.69700910273082,https://www.sports-reference.com/cbb/schools/robert-morris/women/2016.html
3,2016,Seton Hall,8,23,9,0.7188,7.68,14.15,26.7,11.6,2345,2013,584,382,432,0.5165289256198347,15.988393610564183,44.67836257309941,https://www.sports-reference.com/cbb/schools/seton-hall/women/2016.html
4,2016,Duquesne,9,28,6,0.8235,3.83,12.98,25.9,11.3,2441,2157,579,558,473,0.5060619630477328,16.396511321565743,63.48122866894198,https://www.sports-reference.com/cbb/schools/duquesne/women/2016.html
5,2016,Mississippi State,5,28,8,0.7778,8.89,22.17,25.2,15.1,2490,2284,694,479,509,0.48081379182500694,16.428045804877417,52.86975717439294,https://www.sports-reference.com/cbb/schools/mississippi-state/women/2016.html
6,2016,Chattanooga,12,24,8,0.75,0.14,4.99,22.1,8.6,1847,1666,412,375,433,0.4999242128967996,18.98889610047889,53.04101838755304,https://www.sports-reference.com/cbb/schools/chattanooga/women/2016.html
7,2016,Michigan State,4,25,9,0.7353,13.26,24.73,27.5,12.9,2581,2122,678,544,563,0.5331939578237588,18.87159272220211,58.2441113490364,https://www.sports-reference.com/cbb/schools/michigan-state/women/2016.html
8,2016,Belmont,13,24,9,0.7273,-4.96,4.52,27.2,11.9,2464,2006,567,571,456,0.5462251937503325,16.817383864162746,63.58574610244989,https://www.sports-reference.com/cbb/schools/belmont/women/2016.html
9,2016,South Florida,6,24,10,0.7059,12.43,23.11,25.9,10.8,2472,2151,632,442,420,0.5088346205147628,14.741600797450406,50.11337868480726,https://www.sports-reference.com/cbb/schools/south-florida/women/2016.html
10,2016,Colorado State,11,31,2,0.9394,-3.07,12.0,26.2,8.6,2243,1944,435,495,385,0.5251943429802379,15.27535311855261,57.291666666666664,https://www.sports-reference.com/cbb/schools/colorado-state/women/2016.html
11,2016,UCLA,3,26,9,0.7429,15.53,25.36,27.5,13.5,2583,2342,732,466,504,0.4847827392570794,15.908689174515795,48.39044652128764,https://www.sports-reference.com/cbb/schools/ucla/women/2016.html
12,2016,Hawaii,14,21,11,0.6562,-0.19,5.06,22.7,12.4,2067,1793,666,419,534,0.4954363291212057,20.381368223385902,57.63411279229711,https://www.sports-reference.com/cbb/schools/hawaii/women/2016.html
13,2016,BYU,7,26,7,0.7879,4.91,11.32,24.3,9.7,2299,1882,690,535,496,0.5259425329428989,18.4964200477327,66.62515566625156,https://www.sports-reference.com/cbb/schools/brigham-young/women/2016.html
14,2016,Missouri,10,22,10,0.6875,8.37,17.93,23.6,10.0,2175,1744,577,498,553,0.5443269866058021,21.67879320077777,65.87301587301587,https://www.sports-reference.com/cbb/schools/missouri/women/2016.html
15,2016,Texas,2,31,5,0.8611,12.4,27.09,26.4,12.6,2560,2189,704,507,565,0.5122540780226992,18.4413922761574,53.2563025210084,https://www.sports-reference.com/cbb/schools/texas/women/2016.html
16,2016,Alabama State,15,19,12,0.6129,-18.24,-15.84,21.4,11.4,1949,1706,710,393,573,0.4828081648830757,22.11159990738597,59.36555891238671,https://www.sports-reference.com/cbb/schools/alabama-state/women/2016.html
17,2016,Baylor,1,36,2,0.9474,11.66,35.77,30.0,13.2,2951,2356,800,786,569,0.5448670605612999,17.36344217271895,68.94736842105263,https://www.sports-reference.com/cbb/schools/baylor/women/2016.html
18,2016,Idaho,16,24,10,0.7059,-1.77,7.57,26.3,11.4,2539,2214,578,533,461,0.5143174304790302,15.73744077123701,59.68645016797313,https://www.sports-reference.com/cbb/schools/idaho/women/2016.html
19,2016,St. John's (NY),8,23,10,0.697,7.92,14.86,25.8,8.9,2201,1876,610,429,475,0.5131971647080769,18.13392379934336,50.411280846063455,https://www.sports-reference.com/cbb/schools/st-johns-ny/women/2016.html
20,2016,Auburn,9,20,13,0.6061,10.62,12.16,24.1,11.1,2048,1929,527,437,581,0.4738810114397838,21.189840547361662,55.03778337531486,https://www.sports-reference.com/cbb/schools/auburn/women/2016.html
21,2016,Florida State,5,25,8,0.7576,11.04,27.01,27.9,14.1,2424,2021,617,527,579,0.5286850921273032,20.16381796146935,57.22041259500543,https://www.sports-reference.com/cbb/schools/florida-state/women/2016.html
22,2016,Middle Tennessee,12,24,9,0.7273,1.89,9.92,24.2,10.8,2296,1882,671,495,518,0.5272730613069758,19.219067689704815,62.03007518796993,https://www.sports-reference.com/cbb/schools/middle-tennessee/women/2016.html
23,2016,Texas A&M,4,22,10,0.6875,13.05,21.95,27.2,12.4,2254,1976,615,471,471,0.5016469331434167,17.331468943185165,54.01376146788991,https://www.sports-reference.com/cbb/schools/texas-am/women/2016.html
24,2016,Missouri State,13,24,10,0.7059,2.35,9.23,24.8,12.6,2390,2135,692,409,478,0.48985849443323987,16.38400263240879,48.51720047449585,https://www.sports-reference.com/cbb/schools/missouri-state/women/2016.html
25,2016,DePaul,6,27,9,0.75,10.55,25.99,31.2,11.8,2913,2450,490,746,454,0.54640606242497,14.553147839466599,66.31111111111112,https://www.sports-reference.com/cbb/schools/depaul/women/2016.html
26,2016,James Madison,11,27,6,0.8182,0.44,14.47,25.0,15.3,2290,2169,596,408,427,0.47095309389447365,14.939263322884013,49.39467312348668,https://www.sports-reference.com/cbb/schools/james-madison/women/2016.html
27,2016,Louisville,3,26,8,0.7647,10.83,23.57,26.6,13.7,2454,2081,631,548,503,0.5202150391751179,17.57733327742134,60.48565121412803,https://www.sports-reference.com/cbb/schools/louisville/women/2016.html
28,2016,Central Arkansas,14,28,4,0.875,-12.67,-4.85,23.7,11.6,2083,1791,577,454,443,0.5093208403427095,17.806325063909835,59.894459102902374,https://www.sports-reference.com/cbb/schools/central-arkansas/women/2016.html
