Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
Baylor,66,Prairie View A&M,30,Baylor
Houston,73,West Virginia,79,West Virginia
Green Bay,59,Little Rock,55,Green Bay
Michigan State,69,Northern Iowa,66,Michigan State
Georgia,56,Middle Tennessee,41,Georgia
Florida State,76,Samford,46,Florida State
Rutgers,76,Louisiana Tech,51,Rutgers
Texas A&M,87,McNeese,47,Texas A&M
Baylor,82,West Virginia,68,Baylor
Green Bay,65,Michigan State,56,Green Bay
Georgia,61,Florida State,59,Georgia
Rutgers,48,Texas A&M,70,Texas A&M
Baylor,86,Green Bay,76,Baylor
Georgia,38,Texas A&M,79,Texas A&M
Baylor,46,Texas A&M,58,Texas A&M
Texas A&M,99,Tennessee,99,Tennessee
Stetson,34,Marquette,68,Marquette
Texas,65,Georgia Tech,69,Georgia Tech
Bowling Green,58,Ohio State,80,Ohio State
UCF,69,Oklahoma,86,Oklahoma
James Madison,72,Miami (FL),80,Miami (FL)
Gardner-Webb,62,Arizona State,45,Gardner-Webb
Temple,63,Notre Dame,67,Notre Dame
Utah,54,Tennessee,79,Tennessee
Marquette,70,Georgia Tech,60,Marquette
Ohio State,67,Oklahoma,88,Oklahoma
Miami (FL),83,Temple,64,Miami (FL)
Notre Dame,77,Tennessee,85,Tennessee
Ohio State,75,Oklahoma,53,Ohio State
Notre Dame,78,Tennessee,59,Notre Dame
Notre Dame,73,Notre Dame,75,Notre Dame
UConn,75,Hartford,39,UConn
Kansas State,45,Purdue,53,Purdue
Georgetown,65,Princeton,49,Georgetown
Maryland,70,Saint Francis (PA),48,Maryland
Penn State,75,Dayton,66,Penn State
DePaul,56,Navy,43,DePaul
Iowa State,64,Marist,74,Marist
Duke,90,UT-Martin,45,Duke
UConn,64,Purdue,40,UConn
Georgetown,79,Maryland,57,Georgetown
Penn State,73,DePaul,75,DePaul
Marist,66,Duke,71,Duke
UConn,68,Georgetown,63,UConn
DePaul,63,Duke,70,Duke
UConn,75,Duke,40,UConn
UConn,86,Stanford,86,Stanford
UC Davis,59,Texas Tech,50,UC Davis
St. John's (NY),55,UNC,82,UNC
Fresno State,68,Kentucky,66,Fresno State
Hampton,62,Iowa,86,Iowa
Gonzaga,92,UCLA,55,Gonzaga
Montana,47,Louisville,81,Louisville
Vanderbilt,62,Xavier,72,Xavier
South Dakota State,56,Stanford,75,Stanford
St. John's (NY),49,UNC,86,UNC
Kentucky,74,Gonzaga,89,Gonzaga
UCLA,75,Louisville,85,Louisville
Xavier,75,Stanford,72,Xavier
UNC,65,Gonzaga,76,Gonzaga
Louisville,69,Stanford,83,Stanford
Gonzaga,60,Stanford,63,Stanford
Texas A&M,63,Stanford,62,Texas A&M
Notre Dame,72,UConn,63,Notre Dame
Texas A&M,76,Notre Dame,70,Texas A&M
