Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
UConn,90,UTSA,52,UConn
Iowa State,63,Syracuse,72,Syracuse
Maryland,99,Murray State,67,Maryland
UNC,82,Western Illinois,51,UNC
Notre Dame,79,Fairfield,60,Notre Dame
Ohio State,75,Howard,54,Ohio State
Illinois,66,Colorado,57,Illinois
Vanderbilt,102,High Point,61,Vanderbilt
UConn,75,Syracuse,75,Syracuse
Maryland,75,UNC,75,UNC
Notre Dame,75,Ohio State,75,Ohio State
Illinois,75,Vanderbilt,75,Vanderbilt
Stephen F. Austin,75,Missouri State,85,Missouri State
Texas,87,Missouri State,45,Texas
Oregon,70,Virginia Tech,60,Oregon
Kentucky,71,James Madison,56,Kentucky
West Virginia,82,Miami (OH),54,West Virginia
Alabama,68,Rhode Island,55,Alabama
Louisville,72,Vermont,52,Louisville
NC State,76,Tennessee,61,NC State
Michigan,83,Holy Cross,48,Michigan
Texas,56,Oregon,56,Oregon
Kentucky,56,West Virginia,56,West Virginia
Alabama,56,Louisville,56,Louisville
NC State,56,Michigan,56,Michigan
Richmond,56,Nebraska,75,Nebraska
UCLA,96,California Baptist,43,UCLA
Oklahoma State,82,Princeton,68,Oklahoma State
Ole Miss,81,Gonzaga,66,Ole Miss
Minnesota,75,Green Bay,58,Minnesota
Baylor,67,Nebraska,62,Baylor
Duke,81,College of Charleston,64,Duke
Texas Tech,57,Villanova,52,Texas Tech
LSU,116,Jacksonville,58,LSU
UCLA,55,Oklahoma State,55,Oklahoma State
Ole Miss,55,Minnesota,55,Minnesota
Baylor,55,Duke,55,Duke
Texas Tech,55,LSU,55,LSU
Arizona State,55,Virginia,57,Virginia
Samford,53,Southern,65,Southern
South Carolina,103,Southern,34,South Carolina
Clemson,67,USC,71,USC
Michigan State,65,Colorado State,62,Michigan State
Oklahoma,89,Idaho,59,Oklahoma
Washington,72,South Dakota State,54,Washington
TCU,86,UC San Diego,40,TCU
Georgia,73,Virginia,82,Virginia
Iowa,58,FDU,48,Iowa
