Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
UConn,95,Southern,39,UConn
Temple,65,James Madison,53,Temple
Virginia,67,Green Bay,69,Green Bay
Iowa State,79,Lehigh,42,Iowa State
St. John's (NY),65,Princeton,47,St. John's (NY)
Florida State,75,Louisiana Tech,61,Florida State
Mississippi State,68,Middle Tennessee,64,Mississippi State
Ohio State,93,Saint Francis (PA),59,Ohio State
UConn,90,Temple,36,UConn
Green Bay,56,Iowa State,60,Iowa State
St. John's (NY),65,Florida State,66,Florida State
Mississippi State,87,Ohio State,67,Mississippi State
UConn,74,Iowa State,36,UConn
Florida State,74,Mississippi State,71,Florida State
UConn,90,Florida State,50,UConn
UConn,83,Nebraska,83,Nebraska
Northern Iowa,44,UCLA,74,UCLA
NC State,54,Michigan State,72,Michigan State
Bowling Green,62,Kentucky,83,Kentucky
Liberty,77,Georgia Tech,53,Liberty
Little Rock,63,Oklahoma,68,Oklahoma
South Dakota State,57,Wisconsin,55,South Dakota State
Vermont,64,Notre Dame,86,Notre Dame
Cleveland State,58,Nebraska,83,Nebraska
UCLA,70,Michigan State,52,UCLA
Kentucky,70,Little Rock,44,Kentucky
Oklahoma,60,Vermont,66,Vermont
Notre Dame,84,Nebraska,67,Notre Dame
Kentucky,76,Oklahoma,77,Oklahoma
Notre Dame,72,Kentucky,68,Notre Dame
Oklahoma,88,Oklahoma,75,Oklahoma
Tennessee,75,Austin Peay,42,Tennessee
Dayton,67,TCU,66,Dayton
Georgetown,62,Marist,42,Georgetown
Baylor,69,Fresno State,55,Baylor
Texas,63,San Diego State,74,San Diego State
West Virginia,58,Lamar,43,West Virginia
LSU,60,Hartford,39,LSU
Duke,72,Hampton,37,Duke
Tennessee,92,Dayton,64,Tennessee
Georgetown,33,Baylor,49,Baylor
San Diego State,64,West Virginia,55,San Diego State
LSU,52,Duke,60,Duke
Tennessee,62,Baylor,77,Baylor
San Diego State,58,Duke,66,Duke
Baylor,51,Duke,48,Baylor
Baylor,79,Stanford,79,Stanford
UC Riverside,47,Iowa,70,Iowa
Rutgers,63,Georgia,64,Georgia
Tulane,59,Oklahoma State,70,Oklahoma State
Chattanooga,63,Vanderbilt,83,Vanderbilt
DePaul,76,Xavier,94,Xavier
ETSU,82,Gonzaga,82,Gonzaga
UNC,76,Texas A&M,84,Texas A&M
Portland State,53,Stanford,96,Stanford
Iowa,67,Georgia,74,Georgia
Oklahoma State,71,Vanderbilt,62,Oklahoma State
Xavier,63,Gonzaga,72,Gonzaga
Texas A&M,71,Stanford,73,Stanford
Georgia,36,Xavier,74,Xavier
Gonzaga,56,Stanford,55,Gonzaga
Xavier,53,Stanford,70,Stanford
UConn,70,Baylor,50,UConn
Oklahoma,66,Stanford,73,Stanford
UConn,53,Stanford,47,UConn
