Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
Mount St. Mary's,70,Longwood,74,Longwood
NC State,96,Longwood,68,NC State
Washington State,40,Kansas State,50,Kansas State
Notre Dame,89,UMass,78,Notre Dame
Oklahoma,78,IU Indianapolis,72,Oklahoma
Kentucky,62,Princeton,69,Princeton
Indiana,85,Charlotte,51,Indiana
UCF,69,Florida,52,UCF
UConn,83,Mercer,38,UConn
NC State,89,Kansas State,57,NC State
Notre Dame,108,Oklahoma,64,Notre Dame
Princeton,55,Indiana,56,Indiana
UCF,47,UConn,52,UConn
NC State,66,Notre Dame,63,NC State
Indiana,58,UConn,75,UConn
NC State,87,UConn,91,UConn
UConn,57,DePaul,57,DePaul
Dayton,88,Incarnate Word,51,Dayton
Howard,55,South Carolina,79,South Carolina
Howard,21,Miami (FL),78,Miami (FL)
South Florida,66,UNC,79,UNC
Stephen F. Austin,66,Arizona,72,Arizona
UNLV,67,Georgia,70,Georgia
Dayton,54,Iowa State,78,Iowa State
UT Arlington,71,Colorado,74,Colorado
Creighton,84,Iowa,98,Iowa
Illinois State,58,South Carolina,49,Illinois State
Miami (FL),33,UNC,63,UNC
Arizona,45,Georgia,44,Arizona
Iowa State,67,Creighton,64,Iowa State
Iowa,62,South Carolina,69,South Carolina
UNC,61,Iowa State,68,Iowa State
Creighton,76,South Carolina,80,South Carolina
Creighton,50,South Carolina,50,South Carolina
Florida State,50,Missouri State,61,Missouri State
Stanford,78,Montana State,37,Stanford
Kansas,77,Georgia Tech,58,Kansas
Virginia Tech,81,Florida Gulf Coast,84,Florida Gulf Coast
Maryland,102,Delaware,71,Maryland
Ohio State,63,Missouri State,56,Ohio State
LSU,83,Jackson State,77,LSU
Utah,92,Arkansas,69,Utah
Texas,70,Fairfield,52,Texas
Stanford,91,Kansas,65,Stanford
Florida Gulf Coast,65,Maryland,89,Maryland
Ohio State,79,LSU,64,Ohio State
Utah,56,Texas,78,Texas
Stanford,72,Maryland,66,Stanford
Ohio State,63,Texas,66,Texas
Stanford,59,Texas,50,Stanford
Stanford,83,Louisville,83,Louisville
Albany (NY),51,Nebraska,55,Nebraska
Gonzaga,68,Oregon,70,Oregon
Belmont,73,Tennessee,80,Tennessee
Buffalo,67,BYU,57,Buffalo
Villanova,61,Michigan,74,Michigan
American,39,Ole Miss,61,Ole Miss
South Dakota,75,Baylor,89,Baylor
Hawaii,49,Louisville,68,Louisville
Gonzaga,59,Belmont,67,Belmont
Tennessee,70,Villanova,49,Tennessee
Michigan,64,South Dakota,61,Michigan
Baylor,47,Louisville,76,Louisville
Tennessee,64,Michigan,52,Tennessee
South Dakota,49,Louisville,62,Louisville
Michigan,50,Louisville,63,Louisville
UConn,63,Stanford,58,UConn
South Carolina,72,Louisville,59,South Carolina
UConn,49,South Carolina,64,South Carolina
