Winner,Δ Rank,Δ SRS,Δ SOS,Δ WL%,Δ FG/G,Δ OREB/G,Δ TS%,Δ TOV%,Δ AST%
HIGHER,-15.0,60.02,17.91,0.5332000000000001,13.799999999999997,3.6999999999999993,0.12141806952436673,-4.804374552542251,0.7533915029353722
HIGHER,-1.0,7.01,10.08,-0.12650000000000006,-0.5,-0.6999999999999993,-0.016377030746802634,3.874878336104617,12.161055075745544
HIGHER,-7.0,6.32,12.549999999999999,-0.1714,-2.6000000000000014,-0.09999999999999964,-0.036990294026429116,2.1877057561562516,4.01466997116529
HIGHER,-9.0,8.51,14.020000000000001,-0.14700000000000002,1.8999999999999986,0.20000000000000107,-2.295286054365686e-05,1.90290026239812,8.88194506131876
HIGHER,-5.0,8.850000000000001,-0.02999999999999936,0.22299999999999998,1.5999999999999979,-0.7999999999999989,0.0445873742988408,-2.843860423404678,2.4248272288263166
HIGHER,-11.0,20.07,8.12,0.09710000000000008,3.3000000000000007,5.8999999999999995,-0.029405582831325106,-2.500805871828419,-3.9023479375280417
HIGHER,-3.0,3.4400000000000013,-1.740000000000001,0.21940000000000004,3.3999999999999986,2.3000000000000007,0.018540241887058828,2.8121318038927665,-14.182880483506288
HIGHER,-13.0,25.75,17.78,0.12529999999999997,2.1000000000000014,-0.29999999999999893,0.026199460448445955,-1.7073305846630227,-9.707349300498763
HIGHER,-7.0,30.8,-2.3200000000000003,0.2774000000000001,7.199999999999996,0.29999999999999893,0.13940820361164497,-3.354777685704244,2.884120338439722
LOWER,-1.0,-1.6900000000000013,-1.3199999999999985,0.020199999999999996,1.1999999999999993,-1.9000000000000004,0.015942730133052196,-0.5688874722504629,3.0139679204003684
HIGHER,-3.0,3.7699999999999996,0.7599999999999998,0.022700000000000053,1.8000000000000007,1.299999999999999,-0.008626082723456885,-0.804088723227725,14.238399554108419
LOWER,-5.0,1.7199999999999989,5.990000000000001,-0.09410000000000007,-0.29999999999999716,2.4000000000000004,-0.06283736166645648,-1.1593486260012433,-11.18828564886303
HIGHER,-4.0,30.82,-2.2799999999999994,0.28870000000000007,9.299999999999997,-0.7000000000000011,0.13149290333874247,-4.5843372621257625,2.113401041357328
LOWER,-4.0,7.210000000000001,3.46,-0.005900000000000016,0.6000000000000014,2.299999999999999,-0.04041516687337798,-1.9886620411201683,10.77570218934251
HIGHER,-6.0,33.16,3.4400000000000004,0.1744,7.899999999999999,0.1999999999999993,0.08165818710366879,-3.811982556564649,8.98968335323935
LOWER,0.0,17.490000000000002,-1.42,0.055499999999999994,6.4999999999999964,-0.7000000000000011,0.06831415190897316,-2.6343378839908826,2.2833209484563923
HIGHER,-8.0,24.86,16.689999999999998,0.031299999999999994,-0.5999999999999979,0.9000000000000004,-0.00727789761436981,-5.311970274355259,6.309619583955865
HIGHER,-4.0,3.3000000000000007,0.2599999999999998,0.02949999999999997,4.199999999999999,0.0,0.04556053462547022,-0.9214073695927976,-6.513865686602074
LOWER,-8.0,5.32,11.05,-0.13590000000000002,-0.09999999999999787,-1.4000000000000004,-0.006258201119461737,1.4844657614359296,-1.6308569367769863
LOWER,-7.0,16.52,16.86,-0.09090000000000009,1.6999999999999993,-2.8000000000000007,-0.008032250908394434,-1.868113163631893,0.5046244913059539
HIGHER,-8.0,10.23,11.959999999999999,-0.02429999999999999,0.5,1.200000000000001,0.004856510367458933,-0.04222305769975421,1.4549648736499918
HIGHER,-7.0,5.48,1.4,0.06800000000000006,1.1999999999999993,-0.8000000000000007,0.02479487740059816,-2.8192351558086415,2.325114014068177
HIGHER,-8.0,10.45,-0.7300000000000004,0.2399,3.6000000000000014,3.4000000000000004,0.04296170824422524,1.8979688978037963,-3.7409268565047427
HIGHER,-14.0,49.08,25.21,0.38770000000000004,7.5,0.10000000000000142,0.10044044637096483,-5.519399310306021,0.7576364489510965
HIGHER,-3.0,3.620000000000001,2.0500000000000007,-0.0018000000000000238,5.199999999999999,-4.9,0.07017561005566969,0.03816077085646441,0.44219195438707715
HIGHER,-7.0,9.5,13.03,-0.10999999999999999,3.0,2.5,-0.02055307661127248,-1.0991145164908183,-3.8286311389759717
HIGHER,-4.0,5.93,11.43,-0.08320000000000005,-0.1999999999999993,3.200000000000001,-0.025853909862609825,3.5831127198852215,1.8685121107266411
HIGHER,-1.0,6.779999999999998,3.3000000000000007,0.05400000000000005,-0.1999999999999993,-2.299999999999999,0.03228469535700906,-1.941459402924842,3.2230703986429177
HIGHER,-1.0,0.7300000000000004,-1.0700000000000003,0.0857,-2.5,-1.299999999999999,0.025409586978731413,1.056891458791064,5.283596012625964
HIGHER,-1.0,6.779999999999998,3.3000000000000007,0.05400000000000005,-0.1999999999999993,-2.299999999999999,0.03228469535700906,-1.941459402924842,3.2230703986429177
HIGHER,-1.0,6.779999999999998,3.3000000000000007,0.05400000000000005,-0.1999999999999993,-2.299999999999999,0.03228469535700906,-1.941459402924842,3.2230703986429177
HIGHER,-15.0,31.580000000000002,17.85,0.19580000000000009,6.599999999999998,-0.8000000000000007,0.09039409630285694,1.50245928006448,1.0271647803781505
LOWER,-1.0,-6.760000000000002,4.8,-0.07440000000000002,-4.300000000000004,-1.8000000000000007,-0.006303236312269478,4.555899793675719,1.9133518347209346
HIGHER,-7.0,8.120000000000001,15.91,-0.24930000000000008,-0.29999999999999716,-2.3000000000000007,0.009383147074112697,4.2665297846885615,-18.861033593171577
HIGHER,-9.0,13.89,13.36,0.0252,0.6000000000000014,-1.8000000000000007,0.04972195739501417,-1.6648758693558587,-9.880772017653648
LOWER,-5.0,1.2300000000000004,-1.0,0.09089999999999998,1.5,-3.0,0.061941232543311686,-2.0693127086072565,4.234826615346236
HIGHER,-11.0,15.940000000000001,14.76,0.0374000000000001,5.300000000000001,1.7000000000000002,0.029883042356845357,-1.4233214330515853,-3.0102431614888303
LOWER,-3.0,4.550000000000001,-0.7599999999999998,0.1563,6.0,-2.8000000000000007,0.06548054576025891,1.3667106081664322,7.0224839171600095
