Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
UConn,87,Prairie View A&M,44,UConn
Georgia,57,Saint Joseph's,67,Saint Joseph's
NC State,57,BYU,72,BYU
Nebraska,74,Fresno State,55,Nebraska
Gonzaga,63,James Madison,72,James Madison
Texas A&M,70,North Dakota,55,Texas A&M
DePaul,104,Oklahoma,100,DePaul
Duke,87,Winthrop,45,Duke
UConn,91,Saint Joseph's,52,UConn
BYU,80,Nebraska,76,BYU
James Madison,69,Texas A&M,85,Texas A&M
DePaul,74,Duke,65,DePaul
UConn,70,BYU,51,UConn
Texas A&M,84,DePaul,65,Texas A&M
UConn,69,Texas A&M,54,UConn
UConn,70,Tennessee,70,Tennessee
Northwestern State,46,St. John's (NY),71,St. John's (NY)
USC,68,Texas,79,Texas
Penn,61,Maryland,90,Maryland
Army,52,Iowa,87,Iowa
Marist,65,Louisville,88,Louisville
Idaho,42,LSU,98,LSU
Georgia Tech,78,West Virginia,76,Georgia Tech
Albany (NY),61,Tennessee,67,Tennessee
St. John's (NY),51,Texas,64,Texas
Maryland,69,Iowa,53,Maryland
Louisville,83,LSU,76,Louisville
West Virginia,67,Tennessee,62,West Virginia
Maryland,73,Louisville,73,Louisville
LSU,47,Maryland,76,Maryland
Louisville,73,Maryland,93,Maryland
Notre Dame,93,Robert Morris,42,Notre Dame
Vanderbilt,61,Arizona State,69,Arizona State
Oklahoma State,61,Florida Gulf Coast,60,Oklahoma State
Purdue,84,Akron,55,Purdue
Syracuse,59,Chattanooga,53,Syracuse
Kentucky,106,Wright State,60,Kentucky
California,64,Fordham,63,California
Baylor,87,Western Kentucky,74,Baylor
Notre Dame,84,Arizona State,67,Notre Dame
Oklahoma State,73,Purdue,66,Oklahoma State
Syracuse,59,Kentucky,64,Kentucky
California,56,Baylor,75,Baylor
Notre Dame,89,Oklahoma State,72,Notre Dame
Kentucky,72,Baylor,90,Baylor
Notre Dame,88,Baylor,69,Notre Dame
Notre Dame,73,South Carolina,73,South Carolina
Cal State Northridge,58,Middle Tennessee,36,Cal State Northridge
Oregon State,55,Michigan State,91,Michigan State
Hampton,61,UNC,60,Hampton
UT-Martin,58,Dayton,69,Dayton
Florida,83,Penn State,62,Florida
Wichita State,56,Iowa State,44,Wichita State
Florida State,55,Stanford,81,Stanford
South Dakota,62,South Carolina,78,South Carolina
Oregon State,69,Michigan State,53,Oregon State
UNC,62,Florida,61,UNC
Penn State,83,Florida State,44,Penn State
Stanford,63,South Carolina,58,Stanford
UNC,65,Penn State,57,UNC
Stanford,82,UNC,65,Stanford
Stanford,74,Stanford,75,Stanford
UConn,75,Stanford,56,UConn
Maryland,61,Notre Dame,87,Notre Dame
UConn,79,Notre Dame,58,UConn
