Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
Mississippi State,70,Illinois,56,Mississippi State
South Carolina,72,Norfolk State,40,South Carolina
South Florida,67,Marquette,65,South Florida
Oklahoma,85,Portland,63,Oklahoma
UCLA,67,Sacramento State,45,UCLA
Creighton,66,Mississippi State,81,Mississippi State
Notre Dame,82,Southern Utah,56,Notre Dame
Arizona,75,West Virginia,62,Arizona
Maryland,93,Holy Cross,61,Maryland
South Carolina,76,South Florida,45,South Carolina
Oklahoma,73,UCLA,82,UCLA
Mississippi State,48,Notre Dame,53,Notre Dame
Arizona,64,Maryland,77,Maryland
South Carolina,59,UCLA,43,South Carolina
Notre Dame,59,Maryland,76,Maryland
South Carolina,86,Maryland,75,South Carolina
South Carolina,69,Monmouth,69,Monmouth
Tennessee Tech,79,Indiana,77,Tennessee Tech
Tennessee Tech,47,Oklahoma State,61,Oklahoma State
Miami (FL),62,Washington State,63,Washington State
Florida Gulf Coast,74,Villanova,76,Villanova
Cleveland State,59,Michigan,71,Michigan
UNLV,59,LSU,73,LSU
Hawaii,50,NC State,63,NC State
Princeton,64,Utah,103,Utah
Gardner-Webb,77,Indiana,68,Gardner-Webb
Miami (FL),70,Florida Gulf Coast,57,Miami (FL)
Villanova,76,Michigan,42,Villanova
LSU,66,Princeton,56,LSU
Utah,63,Miami (FL),70,Miami (FL)
Villanova,65,LSU,66,LSU
Utah,63,Miami (FL),42,Utah
LSU,54,LSU,66,LSU
St. John's (NY),66,Purdue,64,St. John's (NY)
Virginia Tech,58,Chattanooga,33,Virginia Tech
USC,57,South Dakota State,62,South Dakota State
Iowa State,73,Toledo,80,Toledo
Tennessee,95,Saint Louis,50,Tennessee
UNC,61,St. John's (NY),59,UNC
Ohio State,80,James Madison,66,Ohio State
Baylor,78,Alabama,74,Baylor
UConn,95,Vermont,52,UConn
Virginia Tech,72,South Dakota State,60,Virginia Tech
Toledo,47,Tennessee,94,Tennessee
UNC,69,Ohio State,71,Ohio State
Baylor,58,UConn,77,UConn
Virginia Tech,73,Tennessee,64,Virginia Tech
Ohio State,73,UConn,61,Ohio State
Virginia Tech,84,Ohio State,74,Virginia Tech
Virginia Tech,57,Sacred Heart,57,Sacred Heart
Southern,47,Stanford,92,Stanford
Sacred Heart,49,Ole Miss,71,Ole Miss
Gonzaga,48,Louisville,83,Louisville
Drake,81,Texas,79,Drake
East Carolina,40,Colorado,82,Colorado
Middle Tennessee,60,Duke,89,Duke
Iona,49,Florida State,54,Florida State
Georgia,66,Iowa,95,Iowa
Southeastern Louisiana,43,Stanford,49,Stanford
Ole Miss,54,Louisville,73,Louisville
Texas,51,Colorado,61,Colorado
Duke,53,Georgia,66,Georgia
Iowa,74,Ole Miss,62,Iowa
Louisville,72,Colorado,77,Colorado
Iowa,87,Louisville,83,Iowa
Iowa,97,Iowa,73,Iowa
South Carolina,73,Iowa,77,Iowa
LSU,79,Virginia Tech,72,LSU
Iowa,85,LSU,102,LSU
