Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
UConn,105,Idaho,37,UConn
Vanderbilt,60,Saint Joseph's,54,Vanderbilt
Michigan State,55,Marist,47,Michigan State
Maryland,72,Quinnipiac,52,Maryland
Delaware,66,West Virginia,53,Delaware
UNC,59,Albany (NY),54,UNC
Dayton,96,St. John's (NY),90,Dayton
Kentucky,61,Navy,41,Kentucky
UConn,77,Vanderbilt,44,UConn
Michigan State,49,Maryland,74,Maryland
Delaware,78,UNC,69,Delaware
Dayton,70,Kentucky,84,Kentucky
UConn,76,Maryland,50,UConn
Delaware,62,Kentucky,69,Kentucky
UConn,83,Kentucky,53,UConn
UConn,97,Notre Dame,97,Notre Dame
UT-Martin,64,Miami (FL),53,UT-Martin
Iowa,69,Colorado,52,Iowa
Kansas,67,South Carolina,74,South Carolina
South Dakota State,53,Nebraska,73,Nebraska
Chattanooga,59,Texas A&M,71,Texas A&M
Wichita State,45,Oklahoma State,73,Oklahoma State
DePaul,56,Duke,67,Duke
Hampton,51,Notre Dame,74,Notre Dame
Iowa,57,Kansas,75,Kansas
South Carolina,69,Nebraska,74,Nebraska
Texas A&M,63,Oklahoma State,59,Texas A&M
Duke,68,Notre Dame,93,Notre Dame
Kansas,63,Nebraska,45,Kansas
Duke,53,Notre Dame,87,Notre Dame
Duke,76,Notre Dame,82,Notre Dame
Baylor,82,Prairie View A&M,40,Baylor
Florida State,60,Princeton,44,Florida State
Louisville,74,Middle Tennessee,49,Louisville
Purdue,77,Liberty,43,Purdue
Oklahoma,78,Central Michigan,73,Oklahoma
UCLA,66,Stetson,49,UCLA
Syracuse,56,Creighton,61,Creighton
Tennessee,83,Oral Roberts,62,Tennessee
Baylor,85,Florida State,47,Baylor
Louisville,76,Purdue,63,Louisville
Oklahoma,85,UCLA,72,Oklahoma
Creighton,52,Tennessee,68,Tennessee
Baylor,81,Louisville,82,Louisville
Oklahoma,59,Tennessee,74,Tennessee
Louisville,86,Tennessee,78,Louisville
Louisville,72,Stanford,72,Stanford
Tulsa,56,Michigan,60,Michigan
Villanova,52,Iowa State,72,Iowa State
Gonzaga,60,Georgia,70,Georgia
Montana,50,LSU,75,LSU
Green Bay,71,Penn State,85,Penn State
Cal Poly,55,Texas Tech,70,Texas Tech
South Florida,71,California,90,California
Fresno State,76,Stanford,73,Fresno State
Michigan,40,Iowa State,60,Iowa State
Georgia,65,LSU,71,LSU
Penn State,66,South Florida,78,South Florida
California,82,Stanford,59,California
Georgia,61,LSU,63,LSU
California,73,Georgia,62,California
California,65,California,64,California
UConn,64,Notre Dame,64,Notre Dame
Louisville,64,California,57,Louisville
