ID,Year,Team,Rank,Wins,Losses,WL%,SOS,SRS,FG/G,OREB/G,Total Points,FGA,FTA,AST,TOV,TS%,TOV%,AST%,URL
1,2011,Baylor,1,34,3,0.9189,15.73,40.55,27.8,12.7,2922,2177,923,606,522,0.5655950943045619,16.81094450456021,58.83495145631068,https://www.sports-reference.com/cbb/schools/baylor/women/2011.html
2,2011,Prairie View A&M,16,21,12,0.6364,-8.34,-5.91,19.4,7.7,1833,1665,624,349,623,0.47252985213141124,24.311625874125873,54.44617784711389,https://www.sports-reference.com/cbb/schools/prairie-view/women/2011.html
3,2011,Houston,8,26,6,0.8125,1.44,9.69,25.3,13.2,2384,2033,853,405,529,0.49495083709806004,18.0096142061471,49.9383477188656,https://www.sports-reference.com/cbb/schools/houston/women/2011.html
4,2011,West Virginia,9,24,10,0.7059,9.98,22.42,23.6,12.7,2251,1907,728,443,592,0.5053158055420864,20.997971141977498,55.305867665418226,https://www.sports-reference.com/cbb/schools/west-virginia/women/2011.html
5,2011,Green Bay,5,34,2,0.9444,1.7,22.65,26.2,9.4,2666,2100,690,721,569,0.554584789482443,19.141492296306264,76.53927813163482,https://www.sports-reference.com/cbb/schools/green-bay/women/2011.html
6,2011,Little Rock,12,23,8,0.7419,0.33,6.3,22.5,8.3,1811,1645,448,461,436,0.49155321043145944,19.138587958492092,66.14060258249641,https://www.sports-reference.com/cbb/schools/arkansas-little-rock/women/2011.html
7,2011,Michigan State,4,27,6,0.8182,11.06,23.12,24.7,13.6,2220,1976,549,438,561,0.5005501542235611,20.190314407462857,53.80835380835381,https://www.sports-reference.com/cbb/schools/michigan-state/women/2011.html
8,2011,Northern Iowa,13,27,6,0.8182,2.07,16.92,23.7,8.8,2300,1876,652,475,443,0.5316984761059328,17.00001534990099,60.74168797953964,https://www.sports-reference.com/cbb/schools/northern-iowa/women/2011.html
9,2011,Georgia,6,23,11,0.6765,9.67,14.7,24.1,13.7,2163,2047,570,411,518,0.4706675950909565,18.39619291142837,50.1219512195122,https://www.sports-reference.com/cbb/schools/georgia/women/2011.html
10,2011,Middle Tennessee,11,23,8,0.7419,0.85,9.36,25.4,12.3,2170,1765,559,469,568,0.5395433027011974,22.02438192139467,59.51776649746193,https://www.sports-reference.com/cbb/schools/middle-tennessee/women/2011.html
11,2011,Florida State,3,24,8,0.75,10.34,19.81,25.8,12.5,2352,1889,749,435,586,0.5300735612289053,20.894543172547564,52.663438256658594,https://www.sports-reference.com/cbb/schools/florida-state/women/2011.html
12,2011,Samford,14,25,8,0.7576,-4.65,1.54,21.8,5.3,2098,1627,498,463,453,0.5682187506770958,19.703190786039876,64.21636615811373,https://www.sports-reference.com/cbb/schools/samford/women/2011.html
13,2011,Rutgers,7,20,13,0.6061,17.34,20.69,22.6,9.2,2027,1747,537,432,510,0.5110221451333146,20.45498299428865,57.83132530120482,https://www.sports-reference.com/cbb/schools/rutgers/women/2011.html
14,2011,Louisiana Tech,10,24,8,0.75,1.56,10.12,26.1,11.2,2335,1974,740,433,497,0.5076969907810054,17.77157977544161,51.91846522781775,https://www.sports-reference.com/cbb/schools/louisiana-tech/women/2011.html
15,2011,Texas A&M,2,33,5,0.8684,18.4,38.76,28.9,13.6,2949,2435,774,619,522,0.531244145325628,15.829886340203059,56.42661804922516,https://www.sports-reference.com/cbb/schools/texas-am/women/2011.html
16,2011,McNeese,15,26,7,0.7879,-11.45,-3.09,24.3,14.5,2280,1985,660,399,544,0.5010108112859277,19.29488543661772,49.750623441396506,https://www.sports-reference.com/cbb/schools/mcneese-state/women/2011.html
17,2011,Tennessee,1,34,3,0.9189,13.72,36.61,29.6,14.9,2934,2346,757,522,561,0.5475760335637607,17.314387299079037,47.714808043875685,https://www.sports-reference.com/cbb/schools/tennessee/women/2011.html
18,2011,Stetson,16,20,13,0.6061,-9.05,-9.55,23.2,9.0,2154,1892,625,414,550,0.49700046146746657,20.242914979757085,54.18848167539267,https://www.sports-reference.com/cbb/schools/stetson/women/2011.html
19,2011,Marquette,8,24,9,0.7273,11.13,17.95,23.7,9.6,2189,1802,628,534,536,0.5266272758766696,20.502463355671836,68.37387964148527,https://www.sports-reference.com/cbb/schools/marquette/women/2011.html
20,2011,Texas,9,19,14,0.5758,14.1,21.89,26.8,13.1,2517,2109,749,450,544,0.5160832622531331,18.23936484094201,50.847457627118644,https://www.sports-reference.com/cbb/schools/texas/women/2011.html
21,2011,Georgia Tech,5,24,11,0.6857,11.6,20.91,24.9,13.7,2314,2064,638,510,650,0.49344911119451357,21.70486723299674,58.419243986254294,https://www.sports-reference.com/cbb/schools/georgia-tech/women/2011.html
22,2011,Bowling Green,12,28,5,0.8485,1.29,15.65,23.4,10.2,2371,1862,701,451,457,0.5462026132950001,17.393356270742622,58.49546044098573,https://www.sports-reference.com/cbb/schools/bowling-green-state/women/2011.html
23,2011,Ohio State,4,24,10,0.7059,14.15,23.72,26.9,9.1,2518,1999,694,563,463,0.5463556041590724,16.730746993524512,61.59737417943107,https://www.sports-reference.com/cbb/schools/ohio-state/women/2011.html
