Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
Washington,60,Columbia,63,Columbia
South Carolina,108,Tennessee Tech,48,South Carolina
Utah,68,Indiana,76,Indiana
Alabama,81,Green Bay,67,Alabama
Maryland,82,Norfolk State,69,Maryland
West Virginia,78,Columbia,59,West Virginia
UNC,70,Oregon State,49,UNC
Vanderbilt,73,Oregon,77,Oregon
Duke,86,Lehigh,25,Duke
South Carolina,64,Indiana,53,South Carolina
Alabama,108,Maryland,111,Maryland
West Virginia,47,UNC,58,UNC
Oregon,53,Duke,59,Duke
South Carolina,71,Maryland,67,South Carolina
UNC,38,Duke,47,Duke
South Carolina,54,Duke,50,South Carolina
South Carolina,63,Princeton,63,Princeton
Iowa State,68,William & Mary,69,William & Mary
High Point,63,Texas,105,Texas
William & Mary,61,Illinois,66,Illinois
Creighton,57,Tennessee,101,Tennessee
South Florida,66,Ohio State,71,Ohio State
Montana State,51,Michigan,80,Michigan
Iowa State,74,Notre Dame,106,Notre Dame
Stephen F. Austin,54,Louisville,63,Louisville
Nebraska,58,TCU,73,TCU
FDU,51,Texas,65,Texas
Illinois,48,Tennessee,82,Tennessee
Ohio State,67,Michigan,55,Ohio State
Notre Dame,76,Louisville,70,Notre Dame
TCU,85,Texas,67,TCU
Tennessee,59,Notre Dame,62,Notre Dame
TCU,71,Texas,58,TCU
TCU,47,Texas,68,Texas
Southern,68,UC San Diego,56,Southern
UCLA,84,Southern,46,UCLA
Richmond,74,Georgia Tech,49,Richmond
Ole Miss,83,Ball State,65,Ole Miss
Baylor,73,Grand Canyon,60,Baylor
Florida State,94,George Mason,59,Florida State
LSU,103,San Diego State,48,LSU
Michigan State,64,Harvard,50,Michigan State
NC State,75,Vermont,55,NC State
UCLA,84,Richmond,67,UCLA
Ole Miss,69,Baylor,63,Ole Miss
Florida State,71,LSU,101,LSU
Michigan State,49,NC State,83,NC State
UCLA,76,Ole Miss,62,UCLA
LSU,80,NC State,73,LSU
UCLA,72,LSU,65,UCLA
UCLA,71,USC,71,USC
UNC Greensboro,25,California,46,California
Mississippi State,59,Kansas State,85,Kansas State
Fairfield,41,Kentucky,79,Kentucky
Liberty,78,Iowa,92,Iowa
Murray State,57,Oklahoma,81,Oklahoma
Florida Gulf Coast,58,Oklahoma State,68,Oklahoma State
South Dakota State,74,UConn,103,UConn
Arkansas State,34,USC,96,USC
Mississippi State,59,Kansas State,80,Kansas State
Kentucky,79,Iowa,62,Kentucky
Oklahoma,96,South Dakota State,57,Oklahoma
UConn,91,USC,67,UConn
Kansas State,61,Oklahoma,59,Kansas State
UConn,82,USC,64,UConn
UConn,78,UConn,74,UConn
South Carolina,74,Texas,57,South Carolina
UCLA,51,UConn,85,UConn
South Carolina,59,UConn,82,UConn
