Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
Baylor,81,UC Santa Barbara,40,Baylor
Ohio State,65,Florida,70,Florida
Georgetown,61,Fresno State,56,Georgetown
Georgia Tech,76,Sacred Heart,50,Georgia Tech
Nebraska,49,Kansas,57,Kansas
Delaware,73,Little Rock,42,Delaware
DePaul,59,BYU,55,DePaul
Tennessee,72,UT-Martin,49,Tennessee
Baylor,76,Florida,57,Baylor
Georgetown,64,Georgia Tech,76,Georgia Tech
Kansas,70,Delaware,64,Kansas
DePaul,48,Tennessee,63,Tennessee
Baylor,83,Georgia Tech,68,Baylor
Kansas,73,Tennessee,84,Tennessee
Baylor,77,Tennessee,58,Baylor
Baylor,73,Stanford,73,Stanford
Hampton,51,West Virginia,68,West Virginia
Texas,55,South Carolina,80,South Carolina
Eastern Michigan,48,Purdue,83,Purdue
South Dakota State,68,Oklahoma,88,Oklahoma
Michigan,67,St. John's (NY),69,St. John's (NY)
Creighton,67,Vanderbilt,60,Creighton
Middle Tennessee,46,Duke,82,Duke
Samford,47,Stanford,72,Stanford
West Virginia,55,South Carolina,72,South Carolina
Purdue,61,Oklahoma,70,Oklahoma
St. John's (NY),74,Vanderbilt,80,Vanderbilt
Duke,96,Stanford,76,Duke
South Carolina,60,St. John's (NY),47,South Carolina
Duke,74,Stanford,81,Stanford
Duke,69,Stanford,83,Stanford
UConn,83,Prairie View A&M,47,UConn
Kansas State,67,Princeton,64,Kansas State
LSU,64,San Diego State,56,LSU
Penn State,85,UTEP,77,Penn State
Rutgers,73,Gonzaga,86,Gonzaga
Miami (FL),70,Idaho State,42,Miami (FL)
Green Bay,71,Iowa State,57,Green Bay
Kentucky,68,McNeese,62,Kentucky
UConn,72,Kansas State,26,UConn
LSU,80,Penn State,90,Penn State
Gonzaga,65,Miami (FL),54,Gonzaga
Green Bay,62,Kentucky,65,Kentucky
UConn,77,Penn State,59,UConn
Gonzaga,62,Kentucky,79,Kentucky
UConn,80,Kentucky,65,UConn
UConn,74,Notre Dame,74,Notre Dame
Liberty,43,California,84,California
Iowa,74,St. Bonaventure,72,Iowa
Florida Gulf Coast,65,Georgia,70,Georgia
Marist,76,Arkansas,72,Marist
Dayton,55,Texas A&M,69,Texas A&M
Albany (NY),47,Louisville,67,Louisville
Michigan State,55,Maryland,59,Maryland
Navy,44,Notre Dame,73,Notre Dame
California,62,St. Bonaventure,66,St. Bonaventure
Marist,63,Arkansas,59,Marist
Texas A&M,61,Louisville,68,Louisville
Maryland,72,Notre Dame,79,Notre Dame
St. Bonaventure,35,Texas A&M,74,Texas A&M
Maryland,81,Notre Dame,80,Maryland
Maryland,49,Notre Dame,59,Notre Dame
Baylor,59,Stanford,47,Baylor
UConn,75,Notre Dame,83,Notre Dame
Baylor,80,Notre Dame,61,Baylor
