Winner,Δ Rank,Δ SRS,Δ SOS,Δ WL%,Δ FG/G,Δ OREB/G,Δ TS%,Δ TOV%,Δ AST%
HIGHER,0.0,0.9700000000000006,2.6799999999999997,0.014700000000000046,-1.8999999999999986,-1.700000000000001,-0.0004027238214696638,2.0093254147568604,11.276017292864466
HIGHER,-15.0,26.5,10.67,0.3106,-1.0,1.8000000000000007,0.0017624731851287878,-1.0161283140196495,3.282120107367497
HIGHER,-1.0,2.719999999999999,4.090000000000001,-0.05559999999999998,-2.1000000000000014,-0.09999999999999964,-0.0062511937947687946,-3.8098314230671644,-11.478818548488114
HIGHER,-7.0,8.729999999999999,2.04,0.1714,0.8999999999999986,1.0999999999999996,0.03369774101593759,-1.0740366616355672,-13.8466236078334
HIGHER,-9.0,14.490000000000002,8.530000000000001,0.13239999999999996,-0.7000000000000028,2.9000000000000004,-0.03124389462476518,-1.3872056483670594,-8.483993320992461
LOWER,-5.0,2.7300000000000004,5.44,-0.10289999999999999,1.8999999999999986,5.0,-0.04115296286665726,-0.8719328690194388,-3.2474503488996262
HIGHER,-11.0,18.99,15.12,-0.04159999999999997,3.1999999999999993,1.0,-0.015309935401000674,-1.0830078240404095,0.7137708958173477
HIGHER,-3.0,5.040000000000001,1.4000000000000004,0.05590000000000006,3.3999999999999986,0.29999999999999893,0.01828278924335025,-1.6905486872558395,8.688006463724719
HIGHER,-13.0,21.38,10.58,0.2157,-2.3999999999999986,1.1999999999999993,-0.04626453401377484,-4.477802502412761,-5.258671676582125
LOWER,-7.0,9.02,-2.170000000000001,0.3056,0.5,-1.799999999999999,0.06437738835397877,0.5503823583477789,15.85835915200898
HIGHER,-1.0,5.580000000000002,6.98,-0.13570000000000004,2.1999999999999993,5.3,-0.08178232767506977,-1.4828682735227012,-5.4995538125543035
HIGHER,-8.0,7.669999999999998,5.88,-0.06430000000000002,2.8000000000000007,4.0,-0.036333887471890036,-1.076289953274033,-11.906256539024902
LOWER,-5.0,4.27,-2.1900000000000004,0.19009999999999994,-2.3999999999999986,-0.6999999999999993,-0.0073955737474681316,-1.5393089481745772,-10.225499720333247
HIGHER,-4.0,4.010000000000002,-0.7400000000000002,0.13890000000000002,-0.5,0.5,-0.013778271583332447,0.9062319108104351,1.353380588182894
LOWER,-4.0,1.1899999999999977,-0.0600000000000005,-0.00660000000000005,-0.6999999999999993,-0.09999999999999964,-0.01873162536654449,0.22827913133701827,-15.120516163540934
LOWER,-3.0,0.6600000000000001,-1.0199999999999996,0.057699999999999974,-1.6000000000000014,1.4000000000000004,-0.03762431282880341,-0.471465930556791,-15.985991113028085
LOWER,-9.0,18.8,13.34,0.11650000000000005,3.1000000000000014,0.6999999999999993,0.01136408231131858,-3.5248893568202693,2.861525938449013
HIGHER,-15.0,36.97,15.75,0.4887,3.1000000000000014,0.6999999999999993,0.06338563939922481,-3.726030086018296,8.236510584732805
HIGHER,-8.0,18.97,11.48,0.19079999999999997,-0.3000000000000007,-0.5999999999999996,0.030704808249856996,0.43443689942574437,5.040313261445199
