Winner,Δ Rank,Δ SRS,Δ SOS,Δ WL%,Δ FG/G,Δ OREB/G,Δ TS%,Δ TOV%,Δ AST%
HIGHER,-15.0,23.59,14.17,0.19319999999999993,-2.1999999999999993,-2.6000000000000014,0.014730148106330554,-3.0891520394296172,14.564052407441373
HIGHER,-1.0,2.42,2.7199999999999998,-0.021399999999999975,2.8000000000000007,0.6999999999999993,0.0005405947661546451,-0.41101985531179785,6.744658244604743
LOWER,-7.0,4.470000000000001,5.75,-0.049699999999999966,-0.9000000000000021,2.9000000000000004,-0.04735865917117399,-0.5855659912267619,-4.329650877941617
HIGHER,-9.0,16.62,10.48,0.048899999999999944,0.1999999999999993,-0.5999999999999996,0.02570622118570376,3.0566743448104035,21.92925347222222
HIGHER,-5.0,3.870000000000001,0.5700000000000003,0.048799999999999955,3.6999999999999993,1.8999999999999986,-0.013543181478529842,-0.4932017176776071,-1.1866315163694807
HIGHER,-11.0,14.549999999999999,17.91,-0.04569999999999996,4.600000000000001,-1.5,0.008341719459968422,-2.1708140297798657,3.397501317378051
HIGHER,-3.0,8.18,3.5500000000000007,0.09410000000000007,-0.3999999999999986,0.29999999999999893,-0.0022477619840313157,-0.783644590473223,-6.40920013731548
HIGHER,-13.0,20.5,7.94,0.2529,2.5,1.299999999999999,0.0335804883358638,-2.133489381288488,1.2040514396267241
HIGHER,-7.0,5.359999999999999,0.7200000000000006,0.1049,-5.099999999999998,-2.4000000000000004,-0.004982689653188821,-2.0234465063225446,-5.082835830006466
HIGHER,-8.0,8.560000000000002,9.850000000000001,-0.0806,2.299999999999997,-0.09999999999999964,0.006721555075015706,-0.34731566583400486,5.08234931615776
HIGHER,-3.0,3.2799999999999994,1.4600000000000009,0.07190000000000007,1.5,-3.799999999999999,0.04293833156667548,-1.4763756912351003,7.550050094557179
LOWER,-5.0,1.7399999999999984,-1.1300000000000008,0.05289999999999995,1.3000000000000007,1.4000000000000004,0.01303934180834998,-0.1963758050043225,9.857475999384448
LOWER,-3.0,-0.9700000000000024,-1.5200000000000005,0.047599999999999976,-3.799999999999997,-0.20000000000000107,-0.030294576526318284,-0.8273864906574513,-5.598844115497073
LOWER,-4.0,1.2899999999999991,1.25,-0.022199999999999998,5.199999999999999,0.7000000000000011,0.00714653469683546,-2.5472717405800847,12.171912001722262
LOWER,-3.0,2.120000000000001,0.75,-0.036800000000000055,2.599999999999998,0.7000000000000011,0.010498021071580155,-0.5310277231714853,11.949564720648816
LOWER,-4.0,-0.10999999999999943,0.7900000000000009,0.1514000000000001,-0.8000000000000007,-3.8000000000000007,0.016879818689011228,1.5076074161659268,-0.6594698244783714
LOWER,-5.0,26.99,17.5,0.04730000000000001,2.6000000000000014,2.0999999999999996,-0.007976570280198048,-3.272343881266341,2.3464193615149114
LOWER,-4.0,13.18,6.450000000000001,0.20580000000000004,3.400000000000002,0.0,0.051769908687864796,3.6021451052480415,4.9375330038795795
LOWER,-11.0,7.629999999999999,-5.7,0.3611,-1.5,-0.09999999999999964,0.042369406908263074,0.2183168316924231,5.746475563909776
HIGHER,-8.0,19.41,8.21,0.3132,2.900000000000002,3.0,0.04448865151307946,2.1901848147836276,-7.832331152842215
HIGHER,-4.0,-0.5099999999999998,-4.23,0.18800000000000006,0.1999999999999993,-2.200000000000001,0.012945247399860582,0.6545360090274812,-4.890241284755923
LOWER,-8.0,15.670000000000002,-2.6400000000000006,0.2267,2.0,1.9000000000000004,0.03389907868565467,-0.6228711342066955,4.991136261204865
HIGHER,-7.0,4.569999999999999,6.9,-0.030300000000000105,2.1999999999999993,-0.40000000000000036,-0.011883212639929974,-0.7577368231111699,3.1497584541062764
