ID,Year,Team,Rank,Wins,Losses,WL%,SOS,SRS,FG/G,OREB/G,Total Points,FGA,FTA,AST,TOV,TS%,TOV%,AST%,URL
1,2023,FDU,16,21,16,0.5676,-9.83,-8.98,28.2,11.5,2863,2312,626,545,425,0.5532495439507776,14.108164809921526,52.15311004784689,https://www.sports-reference.com/cbb/schools/fairleigh-dickinson/men/2023.html
2,2023,Texas Southern,16,14,21,0.4,-5.05,-10.56,25.5,11.6,2422,2095,709,412,511,0.5031242729418021,17.512234574839958,46.085011185682326,https://www.sports-reference.com/cbb/schools/texas-southern/men/2023.html
3,2023,Purdue,1,29,6,0.8286,8.31,18.23,25.3,12.3,2543,1936,720,542,388,0.5644087357954545,14.692517418963948,61.31221719457014,https://www.sports-reference.com/cbb/schools/purdue/men/2023.html
4,2023,Memphis,8,26,9,0.7429,6.9,14.5,28.7,10.4,2778,2096,743,546,467,0.573275221633401,16.159616875207618,54.38247011952191,https://www.sports-reference.com/cbb/schools/memphis/men/2023.html
5,2023,Florida Atlantic,9,35,4,0.8974,2.3,13.92,27.8,10.9,3035,2326,684,562,460,0.5776639157048451,14.901391660403762,51.845018450184504,https://www.sports-reference.com/cbb/schools/florida-atlantic/men/2023.html
6,2023,Duke,5,27,9,0.75,7.44,15.83,26.0,12.0,2592,2072,620,526,432,0.5527123848515865,15.557476231633533,56.1965811965812,https://www.sports-reference.com/cbb/schools/duke/men/2023.html
7,2023,Oral Roberts,12,30,5,0.8571,-2.84,8.55,30.2,8.9,2915,2231,548,514,329,0.5895749397278449,11.7453018792483,48.582230623818525,https://www.sports-reference.com/cbb/schools/oral-roberts/men/2023.html
8,2023,Tennessee,4,25,11,0.6944,7.98,20.84,25.2,12.9,2547,2097,643,601,431,0.5351020202359743,15.333058215815463,66.18942731277534,https://www.sports-reference.com/cbb/schools/tennessee/men/2023.html
9,2023,Louisiana,13,26,8,0.7647,-0.51,4.27,27.9,11.1,2630,1972,720,489,415,0.5745368752184551,15.348768400029586,51.473684210526315,https://www.sports-reference.com/cbb/schools/louisiana-lafayette/men/2023.html
10,2023,Kentucky,6,22,12,0.6471,8.08,14.76,27.3,13.9,2532,2045,653,512,400,0.542807161967483,14.639573695613983,55.11302475780409,https://www.sports-reference.com/cbb/schools/kentucky/men/2023.html
