Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
UConn,91,Stetson,52,UConn
Florida Atlantic,65,Northwestern,77,Northwestern
San Diego State,69,UAB,65,San Diego State
Auburn,76,Yale,78,Yale
BYU,67,Duquesne,71,Duquesne
Illinois,85,Morehead State,69,Illinois
Washington State,66,Drake,61,Washington State
Iowa State,82,South Dakota State,65,Iowa State
UConn,75,Northwestern,58,UConn
San Diego State,85,Yale,57,San Diego State
Duquesne,63,Illinois,89,Illinois
Washington State,56,Iowa State,67,Iowa State
UConn,82,San Diego State,52,UConn
Illinois,72,Iowa State,69,Illinois
UConn,77,Illinois,52,UConn
UConn,67,Colorado State,67,Colorado State
Virginia,42,Grambling,88,Grambling
Montana State,81,Purdue,78,Montana State
Grambling,50,Utah State,88,Utah State
TCU,72,Gonzaga,86,Gonzaga
McNeese State,65,Kansas,93,Kansas
Samford,89,South Carolina,73,Samford
Oregon,87,Creighton,77,Oregon
Akron,60,Texas,56,Akron
Colorado State,44,Tennessee,83,Tennessee
St. Peter's,49,Purdue,106,Purdue
Utah State,67,Gonzaga,89,Gonzaga
Kansas,68,Oregon,73,Oregon
Creighton,86,Texas,58,Creighton
Tennessee,62,Purdue,80,Purdue
Gonzaga,68,Creighton,75,Creighton
Tennessee,82,Purdue,72,Tennessee
Tennessee,66,Purdue,60,Tennessee
Colorado,60,Boise State,53,Colorado
Houston,86,Longwood,46,Houston
Nebraska,83,Texas A&M,98,Texas A&M
Wisconsin,61,James Madison,72,James Madison
Duke,64,Vermont,47,Duke
Texas Tech,67,NC State,80,NC State
Kentucky,76,Oakland,80,Oakland
Florida,100,Colorado,102,Colorado
Marquette,87,Western Kentucky,69,Marquette
Houston,100,Texas A&M,95,Houston
James Madison,55,Duke,93,Duke
NC State,79,Oakland,73,NC State
Colorado,77,Marquette,81,Marquette
Houston,51,Duke,54,Duke
NC State,67,Marquette,58,NC State
Duke,64,NC State,76,NC State
NC State,71,Wagner,71,Wagner
Howard,68,UNC,90,UNC
Wagner,62,Mississippi State,51,Wagner
Michigan State,69,Saint Mary's,66,Michigan State
Grand Canyon,75,Alabama,109,Alabama
College of Charleston,96,Clemson,77,College of Charleston
New Mexico,56,Baylor,92,Baylor
Colgate,67,Dayton,63,Colgate
Nevada,60,Arizona,85,Arizona
Long Beach State,65,UNC,85,UNC
Michigan State,69,Grand Canyon,61,Michigan State
Alabama,72,Clemson,72,Clemson
Baylor,64,Dayton,68,Dayton
Arizona,78,UNC,87,UNC
Alabama,89,Clemson,77,Alabama
Arizona,72,Alabama,89,Alabama
Clemson,82,Alabama,86,Alabama
UConn,86,Alabama,72,UConn
Purdue,63,NC State,50,Purdue
UConn,75,Purdue,60,UConn
