ID,Year,Team,Rank,Wins,Losses,WL%,SOS,SRS,FG/G,OREB/G,Total Points,FGA,FTA,AST,TOV,TS%,TOV%,AST%,URL
1,2011,Clemson,12,22,12,0.6471,6.58,13.76,23.8,11.3,2330,1827,703,445,449,0.5453302875973637,17.367289155694458,54.93827160493827,https://www.sports-reference.com/cbb/schools/clemson/men/2011.html
2,2011,UAB,12,22,9,0.7097,2.78,8.55,24.4,11.4,2119,1725,513,420,387,0.5431327919947506,16.554591653405883,55.55555555555556,https://www.sports-reference.com/cbb/schools/alabama-birmingham/men/2011.html
3,2011,UTSA,16,20,14,0.5882,-4.93,-5.8,23.6,10.6,2384,1871,774,430,461,0.538986055092333,17.249378872691352,53.61596009975062,https://www.sports-reference.com/cbb/schools/texas-san-antonio/men/2011.html
4,2011,Alabama State,16,17,18,0.4857,-10.31,-13.37,20.8,13.1,2146,1841,870,404,551,0.48250741973199024,19.857287011676515,55.494505494505496,https://www.sports-reference.com/cbb/schools/alabama-state/men/2011.html
5,2011,Ohio State,1,34,3,0.9189,8.38,25.84,27.5,11.3,2854,2059,763,587,375,0.5958943007950824,13.539274728131362,57.71878072763028,https://www.sports-reference.com/cbb/schools/ohio-state/men/2011.html
6,2011,George Mason,8,27,7,0.7941,1.37,11.66,25.8,10.7,2474,1861,718,483,376,0.5682340187053267,14.728232768751077,55.136986301369866,https://www.sports-reference.com/cbb/schools/george-mason/men/2011.html
7,2011,Villanova,9,21,12,0.6364,8.23,15.05,24.1,12.2,2384,1819,769,450,392,0.5525271628286423,15.376408196566981,56.53266331658291,https://www.sports-reference.com/cbb/schools/villanova/men/2011.html
8,2011,West Virginia,5,21,12,0.6364,11.03,16.15,23.7,14.2,2303,1826,747,491,397,0.5344181038483673,15.55837722598445,62.70753512132823,https://www.sports-reference.com/cbb/schools/west-virginia/men/2011.html
9,2011,Kentucky,4,29,9,0.7632,8.91,20.3,26.4,11.7,2845,2183,789,482,406,0.5622174091757043,13.827584327829546,48.10379241516966,https://www.sports-reference.com/cbb/schools/kentucky/men/2011.html
10,2011,Princeton,13,25,7,0.7812,-1.61,3.71,24.6,9.8,2215,1696,609,427,389,0.5639116886290964,16.53236774105807,54.18781725888325,https://www.sports-reference.com/cbb/schools/princeton/men/2011.html
11,2011,Xavier,6,24,8,0.75,4.41,11.88,24.5,10.2,2306,1700,756,424,386,0.5672426007556676,15.9593821321073,54.08163265306123,https://www.sports-reference.com/cbb/schools/xavier/men/2011.html
12,2011,Marquette,11,22,15,0.5946,8.51,14.89,26.3,12.4,2782,2094,927,574,455,0.5559819016099893,15.38784123806174,58.992805755395686,https://www.sports-reference.com/cbb/schools/marquette/men/2011.html
13,2011,Syracuse,3,27,8,0.7714,8.79,18.85,26.7,12.3,2568,1983,713,566,433,0.5590581350795917,15.862432776988115,60.47008547008547,https://www.sports-reference.com/cbb/schools/syracuse/men/2011.html
14,2011,Indiana State,14,20,14,0.5882,2.9,3.41,22.6,10.4,2253,1793,676,431,477,0.5388817665180536,18.578817810737544,56.046814044213264,https://www.sports-reference.com/cbb/schools/indiana-state/men/2011.html
15,2011,Washington,7,24,11,0.6857,7.74,20.12,30.3,13.9,2907,2260,712,593,426,0.5648433128147733,14.203408818116348,55.89066918001885,https://www.sports-reference.com/cbb/schools/washington/men/2011.html
16,2011,Georgia,10,21,12,0.6364,6.13,10.43,24.9,12.3,2267,1822,667,495,444,0.5358122033770114,17.347273664963197,60.14580801944107,https://www.sports-reference.com/cbb/schools/georgia/men/2011.html
17,2011,UNC,2,29,8,0.7838,10.15,18.87,28.2,14.2,2868,2317,878,573,493,0.5304588432002131,15.423987585723582,54.88505747126437,https://www.sports-reference.com/cbb/schools/north-carolina/men/2011.html
18,2011,LIU,15,27,6,0.8182,-5.77,2.23,28.1,14.5,2730,2009,999,503,505,0.5574705132812755,17.098010536437386,54.202586206896555,https://www.sports-reference.com/cbb/schools/long-island-university/men/2011.html
19,2011,UNC Asheville,16,20,14,0.5882,-2.89,-0.69,25.9,11.8,2506,1950,810,492,506,0.5432708983697537,17.991750817806853,55.845629965947786,https://www.sports-reference.com/cbb/schools/north-carolina-asheville/men/2011.html
20,2011,Little Rock,16,19,17,0.5278,-2.97,-4.32,22.9,10.5,2457,1938,819,433,428,0.5345115647679215,15.698587127158556,52.484848484848484,https://www.sports-reference.com/cbb/schools/arkansas-little-rock/men/2011.html
21,2011,Pitt,1,28,6,0.8235,7.85,20.82,26.1,14.2,2514,1866,805,595,397,0.5661652103414108,15.168882775485253,67.15575620767494,https://www.sports-reference.com/cbb/schools/pittsburgh/men/2011.html
22,2011,Butler,8,28,10,0.7368,5.02,11.53,24.2,11.3,2707,2122,799,452,416,0.5471870502433739,14.39665554617312,49.183895538628946,https://www.sports-reference.com/cbb/schools/butler/men/2011.html
