ID,Year,Team,Rank,Wins,Losses,WL%,SOS,SRS,FG/G,OREB/G,Total Points,FGA,FTA,AST,TOV,TS%,TOV%,AST%,URL
1,2014,Virginia,1,30,7,0.8108,7.86,18.38,23.1,10.2,2449,1884,792,484,362,0.5484931555937791,13.952699577564676,56.60818713450293,https://www.sports-reference.com/cbb/schools/virginia/men/2014.html
2,2014,Coastal Carolina,16,21,13,0.6176,-6.31,-5.21,25.3,12.8,2458,1969,758,362,473,0.5337630074874485,17.041851616994293,42.044134727061554,https://www.sports-reference.com/cbb/schools/coastal-carolina/men/2014.html
3,2014,Memphis,8,24,10,0.7059,7.14,13.02,28.2,12.6,2614,2009,801,591,449,0.5534758452469679,15.97614608388722,61.69102296450939,https://www.sports-reference.com/cbb/schools/memphis/men/2014.html
4,2014,George Washington,9,24,9,0.7273,4.42,10.6,25.4,11.9,2415,1812,845,461,428,0.5529352504808133,16.38716593919902,54.94636471990465,https://www.sports-reference.com/cbb/schools/george-washington/men/2014.html
5,2014,Cincinnati,5,27,7,0.7941,5.28,15.26,23.7,13.4,2325,1893,733,425,377,0.5247075178739077,14.54183574282937,52.79503105590062,https://www.sports-reference.com/cbb/schools/cincinnati/men/2014.html
6,2014,Harvard,12,27,5,0.8438,-0.47,10.79,24.6,10.5,2343,1691,811,449,365,0.5720661770450817,15.127401734056132,57.12468193384224,https://www.sports-reference.com/cbb/schools/harvard/men/2014.html
7,2014,Michigan State,4,29,9,0.7632,9.38,19.35,26.9,10.4,2870,2159,728,637,430,0.5787877321200974,14.780086068222127,62.20703125,https://www.sports-reference.com/cbb/schools/michigan-state/men/2014.html
8,2014,Delaware,13,25,10,0.7143,-1.1,2.73,26.7,11.0,2782,2108,925,377,334,0.5530815109343936,11.723411723411724,40.27777777777778,https://www.sports-reference.com/cbb/schools/delaware/men/2014.html
9,2014,UNC,6,24,10,0.7059,8.42,15.24,28.0,14.2,2604,2057,882,523,406,0.5324979141786772,14.240217742048628,54.87932843651627,https://www.sports-reference.com/cbb/schools/north-carolina/men/2014.html
10,2014,Providence,11,23,12,0.6571,7.85,11.37,24.3,12.3,2566,1984,831,476,406,0.546041095657207,14.733419459726235,56.06595995288575,https://www.sports-reference.com/cbb/schools/providence/men/2014.html
11,2014,Iowa State,3,28,8,0.7778,9.88,18.52,29.5,10.4,2989,2239,814,663,380,0.5754362457453527,12.763842050813528,62.429378531073446,https://www.sports-reference.com/cbb/schools/iowa-state/men/2014.html
12,2014,North Carolina Central,14,28,6,0.8235,-8.03,3.97,24.9,11.9,2513,1832,872,500,389,0.5670945262853843,14.934656080593394,59.031877213695395,https://www.sports-reference.com/cbb/schools/north-carolina-central/men/2014.html
13,2014,UConn,7,32,8,0.8,8.63,17.23,24.3,9.7,2873,2163,829,488,457,0.5682897110485172,15.311113791393613,50.257466529351184,https://www.sports-reference.com/cbb/schools/connecticut/men/2014.html
14,2014,St. Joseph's,10,24,10,0.7059,5.08,9.05,24.7,9.4,2433,1789,780,476,409,0.5705374730325485,16.094758381866836,56.666666666666664,https://www.sports-reference.com/cbb/schools/saint-josephs/men/2014.html
15,2014,Villanova,2,29,5,0.8529,7.5,18.97,25.6,11.1,2651,1907,848,523,406,0.5813290528568672,15.11473798638929,60.11494252873563,https://www.sports-reference.com/cbb/schools/villanova/men/2014.html
16,2014,Milwaukee,15,21,14,0.6,-0.44,-1.53,23.1,9.8,2465,1888,823,476,469,0.5477485645210034,17.248227367677778,58.91089108910891,https://www.sports-reference.com/cbb/schools/milwaukee/men/2014.html
17,2014,Tennessee,11,24,13,0.6486,7.84,17.34,25.1,13.5,2672,2048,852,472,388,0.551409892359506,13.803506375227686,50.916936353829556,https://www.sports-reference.com/cbb/schools/tennessee/men/2014.html
18,2014,Iowa,11,20,13,0.6061,7.43,18.58,27.8,13.5,2689,1984,898,532,371,0.5651249201385387,13.490320422381568,57.889009793253535,https://www.sports-reference.com/cbb/schools/iowa/men/2014.html
