ID,Year,Team,Rank,Wins,Losses,WL%,SOS,SRS,FG/G,OREB/G,Total Points,FGA,FTA,AST,TOV,TS%,TOV%,AST%,URL
43,2022,Chattanooga,13,27,8,0.7714,-0.94,6.12,27.3,10.8,2596,2059,547,449,384,0.5644263549711265,14.308710427472725,46.96652719665272,https://www.sports-reference.com/cbb/schools/chattanooga/men/2022.html
44,2022,Colorado State,6,25,6,0.8065,4.77,11.51,26.5,6.7,2275,1710,507,442,313,0.5884391747884206,13.935389656646246,53.83678440925701,https://www.sports-reference.com/cbb/schools/colorado-state/men/2022.html
45,2022,Michigan,11,19,15,0.5588,11.02,14.26,26.9,9.9,2470,1957,575,481,396,0.5588235294117647,15.195702225633154,52.62582056892779,https://www.sports-reference.com/cbb/schools/michigan/men/2022.html
46,2022,Tennessee,3,27,8,0.7714,9.94,20.46,26.1,11.7,2571,2107,610,576,429,0.5411720131346299,15.297389816003422,62.950819672131146,https://www.sports-reference.com/cbb/schools/tennessee/men/2022.html
47,2022,Longwood,14,26,7,0.7879,-6.11,-0.35,26.5,11.9,2499,1932,667,464,399,0.5614519114977443,15.203011644211424,53.15005727376862,https://www.sports-reference.com/cbb/schools/longwood/men/2022.html
48,2022,Ohio State,7,20,12,0.625,9.08,14.17,25.6,9.0,2329,1740,581,400,358,0.5835220781303241,15.210482486701448,48.84004884004884,https://www.sports-reference.com/cbb/schools/ohio-state/men/2022.html
49,2022,Loyola (IL),10,25,8,0.7576,2.93,13.39,25.9,7.8,2403,1795,562,492,404,0.5883130618720254,16.514871560083066,57.54385964912281,https://www.sports-reference.com/cbb/schools/loyola-il/men/2022.html
50,2022,Villanova,2,30,8,0.7895,10.29,19.31,24.3,10.3,2726,2133,635,451,376,0.5649975128502736,13.48443551857696,48.915401301518436,https://www.sports-reference.com/cbb/schools/villanova/men/2022.html
51,2022,Delaware,15,22,13,0.6286,-1.82,0.32,26.0,8.5,2568,1940,657,440,440,0.5760223948893715,16.48508100169347,48.40484048404841,https://www.sports-reference.com/cbb/schools/delaware/men/2022.html
52,2022,Notre Dame,11,24,11,0.6857,7.01,11.87,26.1,7.2,2540,1973,526,491,365,0.5761100324799042,14.20542997695996,53.77875136911282,https://www.sports-reference.com/cbb/schools/notre-dame/men/2022.html
53,2022,Rutgers,11,18,14,0.5625,6.81,8.78,25.8,10.2,2192,1856,487,486,369,0.5293969897791603,15.127414646944999,58.83777239709443,https://www.sports-reference.com/cbb/schools/rutgers/men/2022.html
54,2022,Gonzaga,1,28,4,0.875,4.5,25.46,32.7,9.7,2790,2004,614,578,370,0.613413304252999,13.993101779014886,55.311004784689,https://www.sports-reference.com/cbb/schools/gonzaga/men/2022.html
55,2022,Georgia State,16,18,11,0.6207,-1.34,-1.11,24.9,13.3,2049,1806,533,391,339,0.5020779017113285,14.246570736955352,54.15512465373961,https://www.sports-reference.com/cbb/schools/georgia-state/men/2022.html
