Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
Clemson,70,UAB,52,Clemson
UTSA,70,Alabama State,61,UTSA
Ohio State,75,UTSA,46,Ohio State
George Mason,61,Villanova,57,George Mason
West Virginia,84,Clemson,76,West Virginia
Kentucky,59,Princeton,57,Kentucky
Xavier,55,Marquette,66,Marquette
Syracuse,77,Indiana State,60,Syracuse
Washington,68,Georgia,65,Washington
UNC,102,LIU,87,UNC
Ohio State,98,George Mason,66,Ohio State
West Virginia,63,Kentucky,71,Kentucky
Marquette,66,Syracuse,62,Marquette
Washington,83,UNC,86,UNC
Ohio State,60,Kentucky,62,Kentucky
Marquette,63,UNC,81,UNC
Kentucky,76,UNC,69,Kentucky
Kentucky,81,UNC Asheville,81,UNC Asheville
Little Rock,77,Pitt,74,Little Rock
UNC Asheville,51,Butler,60,Butler
Old Dominion,58,Kansas State,73,Kansas State
Utah State,68,Wisconsin,72,Wisconsin
Belmont,58,St. John's (NY),71,St. John's (NY)
Gonzaga,86,BYU,74,Gonzaga
Wofford,66,UCLA,78,UCLA
Michigan State,76,Florida,79,Florida
UCSB,51,Pitt,70,Pitt
Butler,71,Kansas State,65,Butler
Wisconsin,70,Gonzaga,67,Wisconsin
BYU,89,UCLA,65,BYU
Florida,73,Butler,61,Florida
Wisconsin,54,BYU,74,BYU
Florida,83,Butler,74,Florida
Florida,71,Butler,59,Florida
VCU,59,USC,46,VCU
Kansas,72,Boston University,53,Kansas
UNLV,62,Illinois,73,Illinois
Vanderbilt,66,Richmond,69,Richmond
Louisville,61,Morehead State,62,Morehead State
Georgetown,56,VCU,74,VCU
Purdue,65,St. Peter's,43,Purdue
Texas A&M,50,Florida State,57,Florida State
Notre Dame,69,Akron,56,Notre Dame
Kansas,73,Illinois,59,Kansas
Richmond,65,Morehead State,48,Richmond
VCU,94,Purdue,76,VCU
Florida State,71,Notre Dame,57,Florida State
Kansas,77,Richmond,57,Kansas
VCU,72,Florida State,71,VCU
Kansas,61,VCU,71,VCU
VCU,87,Duke,87,Duke
Hampton,45,Michigan,75,Michigan
Tennessee,45,Arizona,77,Arizona
Memphis,75,Texas,85,Texas
Oakland,81,Cincinnati,78,Oakland
Missouri,63,UConn,81,UConn
Bucknell,52,Temple,66,Temple
Penn State,64,San Diego State,68,San Diego State
Northern Colorado,50,Duke,73,Duke
Michigan,71,Arizona,70,Michigan
Texas,69,Cincinnati,58,Texas
UConn,69,Temple,64,UConn
San Diego State,71,Duke,77,Duke
Arizona,93,UConn,74,Arizona
San Diego State,67,Arizona,63,San Diego State
UConn,65,UConn,55,UConn
Kentucky,55,UConn,56,UConn
Butler,70,VCU,62,Butler
UConn,53,Butler,41,UConn
