Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
Dayton,56,Boise State,55,Dayton
Villanova,93,Lafayette,52,Villanova
NC State,66,LSU,65,NC State
Northern Iowa,71,Wyoming,54,Northern Iowa
Louisville,57,UC-Irvine,55,Louisville
Providence,53,Dayton,66,Dayton
Oklahoma,69,Albany (NY),60,Oklahoma
Michigan State,70,Georgia,63,Michigan State
Virginia,79,Belmont,67,Virginia
Villanova,68,NC State,71,NC State
Northern Iowa,53,Louisville,66,Louisville
Dayton,66,Oklahoma,72,Oklahoma
Michigan State,60,Virginia,54,Michigan State
NC State,65,Louisville,75,Louisville
Oklahoma,58,Michigan State,62,Michigan State
Louisville,70,Michigan State,76,Michigan State
Michigan State,64,Manhattan,64,Manhattan
Hampton,74,Kentucky,79,Kentucky
Hampton,56,Cincinnati,66,Cincinnati
Purdue,65,West Virginia,68,West Virginia
Buffalo,62,Maryland,65,Maryland
Valparaiso,62,Butler,56,Valparaiso
Texas,48,Notre Dame,69,Notre Dame
Northeastern,65,Wichita State,81,Wichita State
Indiana,76,Kansas,75,Indiana
New Mexico State,56,Kentucky,64,Kentucky
Cincinnati,51,West Virginia,69,West Virginia
Maryland,59,Butler,64,Butler
Notre Dame,67,Wichita State,78,Wichita State
Kansas,65,Kentucky,78,Kentucky
West Virginia,39,Notre Dame,81,Notre Dame
Wichita State,70,Kentucky,68,Wichita State
Notre Dame,66,Kentucky,81,Kentucky
Robert Morris,81,North Florida,77,Robert Morris
Duke,85,Robert Morris,56,Duke
San Diego State,76,St. John's (NY),64,San Diego State
Utah,57,Stephen F. Austin,50,Utah
Georgetown,84,Eastern Washington,74,Georgetown
SMU,59,UCLA,60,UCLA
Iowa State,59,UAB,60,UAB
Iowa,83,Davidson,52,Iowa
Gonzaga,86,North Dakota State,76,Gonzaga
Duke,68,San Diego State,49,Duke
Utah,75,Georgetown,64,Utah
UCLA,92,UAB,75,UCLA
Iowa,68,Gonzaga,87,Gonzaga
Duke,63,Utah,57,Duke
UCLA,62,Gonzaga,74,Gonzaga
Duke,66,Gonzaga,52,Duke
Duke,94,Ole Miss,94,Ole Miss
BYU,90,Wisconsin,86,BYU
Coastal Carolina,72,Oregon,79,Oregon
Oklahoma State,73,Arkansas,56,Oklahoma State
Wofford,53,UNC,67,UNC
Harvard,65,Xavier,76,Xavier
Ole Miss,57,Baylor,56,Ole Miss
Georgia State,57,VCU,72,VCU
Ohio State,75,Arizona,93,Arizona
Texas Southern,72,Wisconsin,72,Wisconsin
Oregon,65,Arkansas,78,Arkansas
UNC,87,Xavier,75,UNC
Georgia State,67,Ohio State,58,Georgia State
Arizona,73,Wisconsin,79,Wisconsin
UNC,72,Xavier,60,UNC
Arizona,68,Wisconsin,85,Wisconsin
Arizona,78,Wisconsin,61,Arizona
Michigan State,61,Duke,81,Duke
Kentucky,64,Wisconsin,71,Wisconsin
Duke,68,Wisconsin,63,Duke
