Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
Mount St. Mary's,83,American,72,Mount St. Mary's
Mount St. Mary's,49,Duke,93,Duke
Mississippi State,72,Baylor,75,Baylor
Oregon,81,Liberty,52,Oregon
Arizona,93,Akron,65,Arizona
BYU,80,VCU,71,BYU
Wisconsin,85,Montana,66,Wisconsin
Saint Mary's,59,Vanderbilt,56,Saint Mary's
Alabama,90,Robert Morris,81,Alabama
Duke,89,Baylor,66,Duke
Oregon,83,Arizona,87,Arizona
BYU,91,Wisconsin,89,BYU
Saint Mary's,66,Alabama,80,Alabama
Duke,100,Arizona,93,Duke
BYU,88,Alabama,113,Alabama
Duke,85,Alabama,65,Duke
Xavier,86,Texas,80,Xavier
Houston,78,SIU-Edwardsville,40,Houston
Gonzaga,89,Georgia,68,Gonzaga
Clemson,67,McNeese State,69,McNeese State
Purdue,75,High Point,63,Purdue
Illinois,86,Xavier,73,Illinois
Kentucky,76,Troy,57,Kentucky
UCLA,72,Utah State,47,UCLA
Tennessee,77,Wofford,62,Tennessee
Houston,81,Gonzaga,76,Houston
McNeese State,62,Purdue,76,Purdue
Illinois,75,Kentucky,84,Kentucky
UCLA,58,Tennessee,67,Tennessee
Houston,62,Purdue,60,Houston
Kentucky,65,Tennessee,78,Tennessee
Houston,68,Tennessee,50,Houston
UNC,95,San Diego State,68,UNC
Saint Francis (PA),68,Alabama State,70,Alabama State
Auburn,83,Alabama State,63,Auburn
Louisville,75,Creighton,89,Creighton
Michigan,68,UC-San Diego,65,Michigan
Texas A&M,80,Yale,71,Texas A&M
Ole Miss,71,UNC,64,Ole Miss
Iowa State,82,Lipscomb,55,Iowa State
Marquette,66,New Mexico,75,New Mexico
Michigan State,87,Bryant,62,Michigan State
Auburn,82,Creighton,70,Auburn
Michigan,91,Texas A&M,79,Michigan
Ole Miss,91,Iowa State,78,Ole Miss
New Mexico,63,Michigan State,71,Michigan State
Auburn,78,Michigan,65,Auburn
Ole Miss,70,Michigan State,73,Michigan State
Auburn,70,Michigan State,64,Auburn
Florida,95,Norfolk State,69,Florida
UConn,67,Oklahoma,59,UConn
Memphis,70,Colorado State,78,Colorado State
Maryland,81,Grand Canyon,49,Maryland
Missouri,57,Drake,67,Drake
Texas Tech,82,UNC Wilmington,72,Texas Tech
Kansas,72,Arkansas,79,Arkansas
St. John's (NY),83,Omaha,53,St. John's (NY)
Florida,77,UConn,75,Florida
Colorado State,71,Maryland,72,Maryland
Drake,64,Texas Tech,77,Texas Tech
Arkansas,75,St. John's (NY),66,Arkansas
Florida,87,Maryland,71,Florida
Texas Tech,85,Arkansas,83,Texas Tech
Florida,84,Texas Tech,79,Florida
Duke,67,Houston,70,Houston
Auburn,73,Florida,79,Florida
Houson,63,Florida,65,Florida
