ID,Year,Team,Rank,Wins,Losses,WL%,SOS,SRS,FG/G,OREB/G,Total Points,FGA,FTA,AST,TOV,TS%,TOV%,AST%,URL
1,2015,Dayton,11,27,9,0.75,4.06,10.98,22.5,7.1,2439,1755,846,490,415,0.5732780504315451,16.32418654415004,60.49382716049383,https://www.sports-reference.com/cbb/schools/dayton/men/2015.html
2,2015,Boise State,11,25,9,0.7353,1.38,10.01,24.4,8.8,2390,1823,591,409,348,0.5736807742530148,14.314861129393181,49.21780986762936,https://www.sports-reference.com/cbb/schools/boise-state/men/2015.html
3,2015,Villanova,1,33,3,0.9167,7.55,23.13,25.4,10.3,2754,1951,815,570,382,0.5962071354347074,14.192301976519543,62.22707423580786,https://www.sports-reference.com/cbb/schools/villanova/men/2015.html
4,2015,Lafayette,16,20,13,0.6061,-3.12,-3.37,26.4,8.5,2426,1799,549,514,366,0.5944446622495786,15.208430290539193,58.944954128440365,https://www.sports-reference.com/cbb/schools/lafayette/men/2015.html
5,2015,NC State,8,22,14,0.6111,9.72,14.11,24.9,12.1,2525,2054,727,415,375,0.5318297470807286,13.641919618171764,46.36871508379888,https://www.sports-reference.com/cbb/schools/north-carolina-state/men/2015.html
6,2015,LSU,9,22,11,0.6667,5.63,11.39,27.0,12.2,2423,1962,658,516,476,0.5380809408754974,17.45175104123893,57.847533632286996,https://www.sports-reference.com/cbb/schools/louisiana-state/men/2015.html
7,2015,Northern Iowa,5,31,4,0.8857,2.0,12.54,22.2,7.3,2281,1618,644,413,363,0.5998338031724659,16.0310198025049,53.22164948453608,https://www.sports-reference.com/cbb/schools/northern-iowa/men/2015.html
8,2015,Wyoming,12,25,10,0.7143,-0.04,3.81,21.3,6.2,2151,1619,638,501,392,0.5661360621565283,17.105056464140468,67.06827309236948,https://www.sports-reference.com/cbb/schools/wyoming/men/2015.html
9,2015,Louisville,4,27,9,0.75,8.98,18.12,24.4,12.6,2483,2048,792,419,408,0.5180514754973962,14.5481515289822,47.722095671981776,https://www.sports-reference.com/cbb/schools/louisville/men/2015.html
10,2015,UC-Irvine,13,21,13,0.6176,0.45,3.63,25.1,9.7,2295,1851,541,480,396,0.5492953701221613,15.935357177349259,56.20608899297424,https://www.sports-reference.com/cbb/schools/california-irvine/men/2015.html
11,2015,Providence,6,22,12,0.6471,9.5,13.71,24.4,12.1,2370,1889,768,474,407,0.5321250875648879,15.452253675130603,57.2463768115942,https://www.sports-reference.com/cbb/schools/providence/men/2015.html
12,2015,Oklahoma,3,24,11,0.6857,9.94,18.65,25.3,11.1,2501,2035,668,430,419,0.5369441629596551,15.247896590876008,48.58757062146893,https://www.sports-reference.com/cbb/schools/oklahoma/men/2015.html
13,2015,Albany (NY),14,24,9,0.7273,-5.18,-0.34,22.1,10.1,2156,1666,650,349,381,0.5522540983606558,16.330904414916418,47.87379972565158,https://www.sports-reference.com/cbb/schools/albany-ny/men/2015.html
14,2015,Michigan State,7,27,12,0.6923,10.0,17.46,26.0,11.2,2773,2181,714,646,441,0.5556757883261996,15.01961745953899,63.70808678500986,https://www.sports-reference.com/cbb/schools/michigan-state/men/2015.html
15,2015,Georgia,10,21,12,0.6364,8.6,12.42,22.6,10.9,2250,1730,826,411,420,0.5373929990828493,16.71016614679483,55.02008032128514,https://www.sports-reference.com/cbb/schools/georgia/men/2015.html
16,2015,Virginia,2,30,4,0.8824,7.81,21.73,23.6,10.5,2224,1758,614,430,316,0.5482802145787314,13.480308511364413,53.482587064676615,https://www.sports-reference.com/cbb/schools/virginia/men/2015.html
17,2015,Belmont,15,22,11,0.6667,-2.77,0.35,26.0,9.3,2450,1803,585,504,451,0.5945447485925063,17.958111013777174,58.74125874125874,https://www.sports-reference.com/cbb/schools/belmont/men/2015.html
18,2015,Manhattan,16,19,14,0.5758,-3.34,-1.34,22.9,10.5,2300,1748,829,460,481,0.544311706014881,18.54450681635926,60.84656084656085,https://www.sports-reference.com/cbb/schools/manhattan/men/2015.html
19,2015,Hampton,16,17,18,0.4857,-7.08,-8.25,22.7,11.9,2346,1959,859,372,494,0.5019341366561687,17.449910984259756,46.733668341708544,https://www.sports-reference.com/cbb/schools/hampton/men/2015.html
20,2015,Kentucky,1,38,1,0.9744,8.67,28.72,25.8,12.6,2900,2150,943,553,408,0.5653197760553935,13.72388089824146,54.97017892644135,https://www.sports-reference.com/cbb/schools/kentucky/men/2015.html
21,2015,Cincinnati,8,23,11,0.6765,4.4,10.72,22.4,11.3,2113,1705,633,394,432,0.5326389449060257,17.8843478836855,51.77398160315374,https://www.sports-reference.com/cbb/schools/cincinnati/men/2015.html
22,2015,Purdue,9,21,13,0.6176,7.64,12.93,24.3,12.0,2375,1840,767,505,444,0.5453551812186564,16.936997421303996,61.06408706166868,https://www.sports-reference.com/cbb/schools/purdue/men/2015.html
23,2015,West Virginia,5,25,10,0.7143,9.29,15.12,24.9,16.4,2542,2138,863,494,453,0.504821822919149,15.248828566812085,56.65137614678899,https://www.sports-reference.com/cbb/schools/west-virginia/men/2015.html
