Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
Indiana,66,Wyoming,58,Indiana
Baylor,85,Norfolk State,49,Baylor
UNC,95,Marquette,63,UNC
Saint Mary's,82,Indiana,53,Saint Mary's
UCLA,57,Akron,53,UCLA
Texas,81,Virginia Tech,73,Texas
Purdue,78,Yale,56,Purdue
Murray State,92,San Francisco,87,Murray State
Kentucky,79,St. Peter's,85,St. Peter's
Baylor,86,UNC,93,UNC
Saint Mary's,56,UCLA,72,UCLA
Texas,71,Purdue,81,Purdue
Murray State,60,St. Peter's,70,St. Peter's
UNC,73,UCLA,66,UNC
Purdue,64,St. Peter's,67,St. Peter's
UNC,69,St. Peter's,49,UNC
UNC,67,Texas A&M-Corpus Christi,67,Texas A&M-Corpus Christi
Texas Southern,76,Kansas,83,Kansas
Texas Southern,56,San Diego State,69,San Diego State
Creighton,72,Iowa,63,Creighton
Richmond,67,Providence,66,Richmond
South Dakota State,57,LSU,54,South Dakota State
Iowa State,59,Wisconsin,67,Wisconsin
Colgate,60,USC,66,USC
Miami (FL),68,Auburn,80,Auburn
Jacksonville State,61,Kansas,79,Kansas
Creighton,72,Richmond,51,Creighton
Providence,79,Iowa State,54,Providence
Wisconsin,49,Miami (FL),79,Miami (FL)
Auburn,61,Kansas,66,Kansas
Providence,61,Iowa State,56,Providence
Miami (FL),70,Kansas,76,Kansas
Miami (FL),50,Kansas,82,Kansas
Bryant,82,Wright State,93,Wright State
Arizona,87,Wright State,70,Arizona
Seton Hall,42,TCU,69,TCU
Houston,82,UAB,68,Houston
Illinois,54,Chattanooga,53,Illinois
Colorado State,63,Michigan,75,Michigan
Tennessee,88,Longwood,56,Tennessee
Ohio State,54,Loyola (IL),41,Ohio State
Villanova,80,Delaware,60,Villanova
Arizona,85,TCU,80,Arizona
Houston,68,Illinois,53,Houston
Michigan,76,Tennessee,68,Michigan
Ohio State,61,Villanova,71,Villanova
Arizona,60,Houston,72,Houston
Michigan,55,Villanova,63,Villanova
Houston,44,Villanova,50,Villanova
Villanova,89,Notre Dame,89,Notre Dame
Rutgers,87,Gonzaga,93,Gonzaga
Georgia State,72,Boise State,53,Georgia State
Memphis,64,UConn,63,Memphis
New Mexico State,70,Arkansas,75,Arkansas
Vermont,71,Alabama,64,Vermont
Notre Dame,78,Texas Tech,97,Texas Tech
Montana State,62,Michigan State,74,Michigan State
Davidson,73,Duke,78,Duke
Cal State Fullerton,61,Gonzaga,82,Gonzaga
Memphis,78,New Mexico State,48,Memphis
Arkansas,53,Notre Dame,53,Notre Dame
Texas Tech,59,Michigan State,76,Michigan State
Duke,85,Gonzaga,68,Duke
Arkansas,74,Texas Tech,73,Arkansas
Duke,78,Arkansas,69,Duke
Duke,78,Duke,81,Duke
UNC,81,Duke,77,UNC
Kansas,81,Villanova,65,Kansas
UNC,69,Kansas,72,Kansas
