Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
LIU,61,Radford,71,Radford
St. Bonaventure,65,UCLA,58,St. Bonaventure
Villanova,87,Radford,61,Villanova
Virginia Tech,83,Alabama,86,Alabama
West Virginia,85,Murray State,68,West Virginia
Wichita State,75,Marshall,81,Marshall
Florida,77,St. Bonaventure,62,Florida
Texas Tech,70,Stephen F. Austin,60,Texas Tech
Arkansas,62,Butler,79,Butler
Purdue,74,Cal State Fullerton,48,Purdue
Villanova,81,Alabama,58,Villanova
West Virginia,94,Marshall,71,West Virginia
Florida,66,Texas Tech,69,Texas Tech
Butler,73,Purdue,76,Purdue
Villanova,90,West Virginia,78,Villanova
Texas Tech,78,Purdue,65,Texas Tech
Villanova,71,Texas Tech,59,Villanova
Villanova,60,Syracuse,60,Syracuse
Arizona State,56,Kansas,76,Kansas
Penn,60,Seton Hall,94,Seton Hall
NC State,83,Clemson,79,NC State
New Mexico State,68,Auburn,62,New Mexico State
College of Charleston,58,TCU,52,College of Charleston
Syracuse,57,Michigan State,82,Michigan State
Bucknell,78,Rhode Island,83,Rhode Island
Oklahoma,78,Duke,89,Duke
Iona,67,Kansas,83,Kansas
Seton Hall,79,Clemson,84,Clemson
Auburn,53,Syracuse,55,Syracuse
Michigan State,53,Rhode Island,62,Rhode Island
Duke,87,Kansas,80,Duke
Clemson,76,Syracuse,65,Clemson
Duke,69,Kansas,85,Kansas
Duke,81,Kansas,54,Duke
Virginia,54,UMBC,74,UMBC
Creighton,59,Kansas State,69,Kansas State
Kentucky,78,Davidson,73,Kentucky
Arizona,68,Buffalo,89,Buffalo
Miami (FL),62,Loyola (IL),64,Loyola (IL)
Tennessee,73,Wright State,47,Tennessee
Nevada,87,Texas,83,Nevada
Cincinnati,68,Georgia State,53,Cincinnati
UMBC,43,Kansas State,50,Kansas State
Kentucky,95,Buffalo,75,Kentucky
Loyola (IL),63,Tennessee,62,Loyola (IL)
Nevada,75,Cincinnati,73,Nevada
Kansas State,61,Kentucky,58,Kansas State
Loyola (IL),69,Nevada,68,Loyola (IL)
Kansas State,62,Loyola (IL),78,Loyola (IL)
Loyola (IL),64,Texas Southern,64,Texas Southern
North Carolina Central,46,Xavier,102,Xavier
Texas Southern,83,Missouri,54,Texas Southern
Florida State,67,Ohio State,81,Ohio State
South Dakota State,73,Gonzaga,68,South Dakota State
UNC Greensboro,64,Houston,67,Houston
San Diego State,65,Michigan,61,San Diego State
Montana,47,Texas A&M,73,Texas A&M
Providence,69,UNC,84,UNC
Lipscomb,66,Xavier,70,Xavier
Florida State,75,Ohio State,84,Ohio State
Gonzaga,90,Houston,63,Gonzaga
Michigan,64,Texas A&M,86,Texas A&M
UNC,65,Florida State,75,Florida State
Gonzaga,60,Michigan,99,Michigan
Texas A&M,72,Florida State,54,Texas A&M
Michigan,58,Michigan,95,Michigan
Villanova,95,Kansas,79,Villanova
Loyola (IL),57,Michigan,69,Michigan
Villanova,79,Michigan,62,Villanova
